Goalies (1),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Sandstrom, Felix",1 UFA,,G,Minor,Signed,27,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,27,-,"$775,000 ",,,,,
