Defense (6),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Johnson, Ryan",1 RFA,ELC,LD,Minor,Draft,22,-,"$925,000 ",RFA,,,,
"Novikov, Nikita",2 RFA,ELC,LD,Minor,Draft,20,-,"$867,500 ","$867,500 ",RFA,,,
"Komarov, Vsevolod",3 RFA,ELC,RD,Junior,Draft,20,-,"$835,000 ","$835,000 ","$835,000 ",RFA,,
"Clague, Kale",1 UFA,,LD/RD,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Poolman, Colton",1 UFA,,LD,Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Rathbone, Jack",1 RFA,,LD,Minor,Signed,25,-,"$775,000 ",RFA,,,,
TOTAL,,,,,,23.5,-,"$4,952,500 ","$1,702,500 ","$835,000 ",,,
