"Defense (6 - $28,258,333)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Dahlin, Rasmus",8 UFA,,LD/RD,NHL,Draft,24,12.5,"$11,000,000 ","$11,000,000 ","$11,000,000 ","$11,000,000 ","$11,000,000 ","$11,000,000 "
"Power, Owen",7 UFA,,LD/RD,NHL,Draft,21,9.5,"$8,350,000 ","$8,350,000 ","$8,350,000 ","$8,350,000 ","$8,350,000 ","$8,350,000 "
"Byram, Bowen",1 RFA,,LD/RD,NHL,Trade,23,4.4,"$3,850,000 ",RFA,,,,
"Clifton, Connor",2 UFA,,RD,NHL,Signed,29,3.8,"$3,333,333 ","$3,333,333 ",UFA,,,
"Bryson, Jacob",1 UFA,,LD/RD,NHL,Signed,26,1,"$900,000 ",UFA,,,,
"Gilbert, Dennis",1 UFA,,LD,NHL,Signed,27,0.9,"$825,000 ",UFA,,,,
"Jokiharju, Henri",0 RFA,,RD,NHL,Trade,25,,RFA,,,,,
TOTAL,,,,,,25,32.1,"$28,258,333 ","$22,683,333 ","$19,350,000 ","$19,350,000 ","$19,350,000 ","$19,350,000 "
