Buyout History (2),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Skinner, Jeff","$1,444,445 ","$4,444,445 ","$6,444,445 ","$2,444,445 ","$2,444,445 ","$2,444,445 "
"Ehrhoff, Christian",$0 ,$0 ,$0 ,$0 ,,
TOTAL,"$1,444,445 ","$4,444,445 ","$6,444,445 ","$2,444,445 ","$2,444,445 ","$2,444,445 "
