"Goalies (2 - $1,925,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Reimer, James",1 UFA,35+,G,NHL,Signed,36,1.1,"$1,000,000 ",UFA,,,,
"Levi, Devon",1 10.2(c),ELC,G,NHL,Trade,22,1.1,"$925,000 ",10.2(c),,,,
"Luukkonen, Ukko-Pekka",0 RFA,,G,NHL,Draft,25,,RFA,,,,,
TOTAL,,,,,,27.7,2.2,"$1,925,000 ",,,,,
