,Defense (5),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Mayo, Dysin",1 UFA,,RD,Minor,Trade,27.0,-,"$950,000",UFA,,,,
1,"Sedoff, Christoffer",2 RFA,ELC,LD,Minor,Signed,22.0,-,"$870,000","$870,000",RFA,,,
2,"Fleming, Joe",2 RFA,ELC,RD,Minor,Signed,21.0,-,"$836,667","$836,667",RFA,,,
3,"Chayka, Daniil",2 RFA,ELC,LD,Minor,Draft,21.0,-,"$825,000","$825,000",RFA,,,
4,"Cormier, Lukas",1 RFA,ELC,LD,Minor,Draft,22.0,-,"$793,333",RFA,,,,
5,"Ahac, Layton",0 RFA,,LD,Minor,Draft,23.0,-,RFA,,,,,
6,"Korczak, Kaedan",0 RFA,,RD,Minor,Draft,23.0,-,RFA,,,,,
7,TOTAL,,,,,,22.7,-,"$4,275,000","$2,531,667",,,,
