"Goalies (2 - $6,700,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Hill, Adin",1 UFA,M-NTC,G,NHL,Trade,28,5.6,"$4,900,000 ",UFA,,,,
"Samsonov, Ilya",1 UFA,,G,NHL,Signed,27,2,"$1,800,000 ",UFA,,,,
TOTAL,,,,,,27.5,7.6,"$6,700,000 ",,,,,
