Goalies (2),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Vikman, Jesper",2 RFA,ELC,G,Minor,Draft,22,-,"$858,000 ","$858,000 ",RFA,,,
"Lindbom, Carl",2 RFA,ELC,G,Loan,Draft,21,-,"$840,000 ","$840,000 ",RFA,,,
TOTAL,,,,,,21.5,-,"$1,698,000 ","$1,698,000 ",,,,
