"Defense (8 - $31,044,150)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Pietrangelo, Alex ""A""",3 UFA,NMC,RD,NHL,Signed,34,10,"$8,800,000 ","$8,800,000 ","$8,800,000 ",UFA,,
"Hanifin, Noah",8 UFA,NTC,LD,NHL,Trade,27,8.4,"$7,350,000 ","$7,350,000 ","$7,350,000 ","$7,350,000 ","$7,350,000 ","$7,350,000 "
"Theodore, Shea",1 UFA,M-NTC,LD/RD,NHL,Trade,28,5.9,"$5,200,000 ",UFA,,,,
"McNabb, Brayden",1 UFA,M-NTC,LD,NHL,Expansion,33,3.2,"$2,850,000 ",UFA,,,,
"Whitecloud, Zach",4 UFA,,RD,NHL,Signed,27,3.1,"$2,750,000 ","$2,750,000 ","$2,750,000 ","$2,750,000 ",UFA,
"Hague, Nicolas",1 RFA,,LD,NHL,Draft,25,2.6,"$2,294,150 ",RFA,,,,
"Hutton, Ben",2 UFA,,LD,NHL,Signed,31,1.1,"$975,000 ","$975,000 ",UFA,,,
"Korczak, Kaedan",2 RFA,,RD,NHL,Draft,23,0.9,"$825,000 ","$825,000 ",RFA,,,
TOTAL,,,,,,28.5,35.3,"$31,044,150 ","$20,700,000 ","$18,900,000 ","$10,100,000 ","$7,350,000 ","$7,350,000 "
