,Defense (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Kaiser, Wyatt",1 RFA,ELC,LD,Minor,Draft,21.0,-,"$916,667",RFA,,,,
1,"Del Mastro, Ethan",2 RFA,ELC,LD,Minor,Draft,21.0,-,"$855,833","$855,833",RFA,,,
2,"Allan, Nolan",2 RFA,ELC,LD,Minor,Draft,21.0,-,"$825,000","$825,000",RFA,,,
3,"Crevier, Louis",0 RFA,,RD,Minor,Draft,23.0,-,RFA,,,,,
4,"Phillips, Isaak",0 RFA,,LD,Minor,Draft,22.0,-,RFA,,,,,
5,"Roos, Filip",0 RFA,,LD,Minor,Signed,25.0,-,RFA,,,,,
6,TOTAL,,,,,,22.2,-,"$2,597,500","$1,680,833",,,,
