"Defense (6 - $27,168,333)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Jones, Seth ""A""",6 UFA,NMC,RD,NHL,Trade,29,10.8,"$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 "
"Vlasic, Alex",6 UFA,,LD,NHL,Draft,23,5.2,"$4,600,000 ","$4,600,000 ","$4,600,000 ","$4,600,000 ","$4,600,000 ","$4,600,000 "
"Murphy, Connor ""A""",2 UFA,M-NTC,RD,NHL,Trade,31,5,"$4,400,000 ","$4,400,000 ",UFA,,,
"Martinez, Alec",1 UFA,35+,LD,NHL,Signed,36,4.5,"$4,000,000 ",UFA,,,,
"Brodie, TJ",2 UFA,,LD/RD,NHL,Signed,34,4.3,"$3,750,000 ","$3,750,000 ",UFA,,,
"Korchinski, Kevin",2 RFA,ELC,LD,NHL,Draft,20,1,"$918,333 ","$918,333 ",RFA,,,
TOTAL,,,,,,28.8,30.9,"$27,168,333 ","$23,168,333 ","$14,100,000 ","$14,100,000 ","$14,100,000 ","$14,100,000 "
