Defense (8),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Gill, Dyllan",3 RFA,ELC,RD,Minor,Draft,20,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Lilleberg, Emil Martinsen",3 RFA,ELC,LD,Minor,Signed,23,-,"$870,000 ","$800,000 ","$800,000 ",RFA,,
"Crozier, Maxwell",1 RFA,ELC,RD,Minor,Draft,24,-,"$867,500 ",RFA,,,,
"Schmidt, Roman",2 RFA,ELC,RD,Minor,Draft,21,-,"$805,833 ","$805,833 ",RFA,,,
"Paquette-Bisson, Tobie",1 UFA,,LD,Minor,Signed,27,-,"$775,000 ",UFA,,,,
"Carlile, Declan",2 RFA,,LD,Minor,Signed,24,-,"$775,000 ","$775,000 ",RFA,,,
"Pouliot, Derrick",1 UFA,,LD,Minor,Signed,30,-,"$775,000 ",UFA,,,,
"Santini, Steven",1 UFA,,RD,Minor,Signed,29,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,24.8,-,"$6,513,333 ","$3,250,833 ","$1,670,000 ",,,
