Goalies (1),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Tomkins, Matt",1 UFA,,G,Minor,Signed,30,-,"$775,000 ",UFA,,,,
"Alnefelt, Hugo",0 RFA,,G,Minor,Draft,23,-,RFA,,,,,
TOTAL,,,,,,26.5,-,"$775,000 ",,,,,
