"Goalies (2 - $10,275,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Vasilevskiy, Andrei",4 UFA,NMC,G,NHL,Draft,29,10.8,"$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ",UFA,
"Johansson, Jonas",1 UFA,,G,NHL,Signed,28,0.9,"$775,000 ",UFA,,,,
TOTAL,,,,,,28.5,11.7,"$10,275,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ",,
