"Goalies (2 - $6,775,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Binnington, Jordan",3 UFA,M-NTC,G,NHL,Draft,30,6.8,"$6,000,000 ","$6,000,000 ","$6,000,000 ",UFA,,
"Hofer, Joel",1 RFA,,G,NHL,Draft,23,0.9,"$775,000 ",RFA,,,,
TOTAL,,,,,,26.5,7.7,"$6,775,000 ","$6,000,000 ","$6,000,000 ",,,
