,Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Zherenko, Vadim",1 RFA,ELC,G,Minor,Draft,23.0,-,"$846,667",RFA,,,,
1,"Cranley, Will",1 RFA,ELC,G,Minor,Draft,22.0,-,"$841,667",RFA,,,,
2,"Ellis, Colten",1 RFA,,G,Minor,Draft,23.0,-,"$775,000",RFA,,,,
3,TOTAL,,,,,,22.7,-,"$2,463,334",,,,,
