,"Defense (6 - $25,450,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Faulk, Justin ""A""",3 UFA,NTC,RD,NHL,Trade,32.0,7.4,"$6,500,000","$6,500,000","$6,500,000",UFA,,
1,"Krug, Torey",3 UFA,NTC,LD,NHL,Signed,33.0,7.4,"$6,500,000","$6,500,000","$6,500,000",UFA,,
2,"Parayko, Colton ""A""",6 UFA,NTC,RD,NHL,Draft,31.0,7.4,"$6,500,000","$6,500,000","$6,500,000","$6,500,000","$6,500,000","$6,500,000"
3,"Leddy, Nick",2 UFA,NTC,LD,NHL,Signed,33.0,4.5,"$4,000,000","$4,000,000",UFA,,,
4,"Perunovich, Scott",1 RFA,,LD,NHL,Draft,25.0,1.3,"$1,150,000",RFA,,,,
5,"Tucker, Tyler",1 RFA,,LD/RD,NHL,Draft,24.0,0.9,"$800,000",RFA,,,,
6,"Scandella, Marco",0 UFA,,LD,NHL,Trade,34.0,,UFA,,,,,
7,TOTAL,,,,,,30.3,28.9,"$25,450,000","$23,500,000","$19,500,000","$6,500,000","$6,500,000","$6,500,000"
