"Defense (5 - $19,925,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Morrissey, Joshua ""A""",4 UFA,NMC,LD,NHL,Draft,29,7.1,"$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ",UFA,
"Pionk, Neal",1 UFA,M-NTC,RD,NHL,Trade,28,6.7,"$5,875,000 ",UFA,,,,
"DeMelo, Dylan",4 UFA,,RD,NHL,Trade,31,5.6,"$4,900,000 ","$4,900,000 ","$4,900,000 ","$4,900,000 ",UFA,
"Miller, Colin",2 UFA,,RD,NHL,Signed,31,1.7,"$1,500,000 ","$1,500,000 ",UFA,,,
"Samberg, Dylan",1 RFA,,LD,NHL,Draft,25,1.6,"$1,400,000 ",RFA,,,,
"Stanley, Logan",0 RFA,,LD,NHL,Draft,26,,RFA,,,,,
TOTAL,,,,,,28.3,22.6,"$19,925,000 ","$12,650,000 ","$11,150,000 ","$11,150,000 ",,
