Goalies (2),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Milic, Thomas",3 RFA,ELC,G,Minor,Draft,21,-,"$841,667 ","$841,667 ","$841,667 ",RFA,,
"DiVincentiis, Domenic",3 RFA,ELC,G,Junior,Draft,20,-,"$830,556 ","$830,556 ","$830,556 ",RFA,,
TOTAL,,,,,,20.5,-,"$1,672,223 ","$1,672,223 ","$1,672,223 ",,,
