Buyout History (2),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Wheeler, Blake","$2,750,000 ",,,,,
"Schmidt, Nate","$2,716,667 ","$1,616,667 ",,,,
TOTAL,"$5,466,667 ","$1,616,667 ",,,,
