"Goalies (3 - $10,325,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Hellebuyck, Connor",7 UFA,NMC,G,NHL,Draft,31,9.7,"$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 "
"Kahhkonen, Kaapo",1 UFA,,G,NHL,Signed,27,1.1,"$1,000,000 ",UFA,,,,
"Comrie, Eric",2 UFA,,G,NHL,Signed,28,0.9,"$825,000 ","$825,000 ",UFA,,,
TOTAL,,,,,,28.7,11.7,"$10,325,000 ","$9,325,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 "
