"Injured Reserve (1 - $2,750,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"McGinn, Brock",1 UFA,,"LW, RW",IR,Trade,30,3.1,"$2,750,000 ",UFA,,,,
TOTAL,,,,,,30,3.1,"$2,750,000 ",,,,,
