"Defense (6 - $16,512,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Fowler, Cam",2 UFA,M-NTC,LD/RD,NHL,Draft,32,7.4,"$6,500,000 ","$6,500,000 ",UFA,,,
"Gudas, Radko",2 UFA,M-NTC,RD,NHL,Signed,34,4.5,"$4,000,000 ","$4,000,000 ",UFA,,,
"Dumoulin, Brian",1 UFA,M-NTC,LD,NHL,Trade,32,3.6,"$3,150,000 ",UFA,,,,
"Vaakanainen, Urho",1 UFA,,LD/RD,NHL,Signed,25,1.3,"$1,100,000 ",UFA,,,,
"Mintyukov, Pavel",2 RFA,ELC,LD,NHL,Draft,20,1,"$918,333 ","$918,333 ",RFA,,,
"Zellweger, Olen",2 RFA,ELC,LD,NHL,Draft,20,1,"$844,167 ","$844,167 ",RFA,,,
"LaCombe, Jackson",0 10.2(c),,LD/RD,NHL,Draft,23,,10.2(c),,,,,
TOTAL,,,,,,26.6,18.8,"$16,512,500 ","$12,262,500 ",,,,
