Defense (5),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Dionicio, Rodwin",3 RFA,ELC,LD,Minor,Draft,20,-,"$950,000 ","$950,000 ","$950,000 ",RFA,,
"Helleson, Drew",1 RFA,ELC,RD,Minor,Trade,23,-,"$925,000 ",RFA,,,,
"Luneau, Tristan",3 RFA,ELC,RD,Loan,Draft,20,-,"$865,000 ","$865,000 ","$865,000 ",RFA,,
"Warren, Noah",3 RFA,ELC,RD,Junior,Draft,19,-,"$865,000 ","$865,000 ","$865,000 ",RFA,,
"Hinds, Tyson",2 RFA,ELC,LD,Minor,Draft,21,-,"$829,444 ","$829,444 ",RFA,,,
TOTAL,,,,,,20.6,-,"$4,434,444 ","$3,509,444 ","$2,680,000 ",,,
