"Goalies (2 - $7,212,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Gibson, John",3 UFA,M-NTC,G,NHL,Draft,30,7.3,"$6,400,000 ","$6,400,000 ","$6,400,000 ",UFA,,
"Dostal, Lukas",1 RFA,,G,NHL,Draft,24,0.9,"$812,500 ",RFA,,,,
TOTAL,,,,,,27,8.2,"$7,212,500 ","$6,400,000 ","$6,400,000 ",,,
