Goalies (5),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Clang, Calle",1 RFA,ELC,G,Minor,Trade,22,-,"$878,333 ",RFA,,,,
"Clara, Damian",3 RFA,ELC,G,Minor,Draft,19,-,"$878,333 ","$878,333 ","$878,333 ",RFA,,
"Suchanek, Tomas",3 RFA,ELC,G,Minor,Signed,21,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Buteyets, Vyacheslav",2 RFA,ELC,G,Minor,Draft,22,-,"$852,500 ","$852,500 ",RFA,,,
"Alexander, Gage",1 RFA,ELC,G,Minor,Draft,22,-,"$810,000 ",RFA,,,,
TOTAL,,,,,,21.2,-,"$4,289,166 ","$2,600,833 ","$1,748,333 ",,,
