,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
0,"Jun. 30, 2010",Anaheim Ducks Acquire:Jason Jaffray,Calgary Flames Acquire:Logan MacMillan,Anaheim Ducks ,Jason Jaffray,Calgary Flames ,Logan MacMillan
1,"Jun. 30, 2010",Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Chicago Blackhawks ,Philippe ParadisViktor StalbergChris DiDomenico,Toronto Maple Leafs ,Kris VersteegBill Sweatt
2,"Jun. 30, 2010",Arizona Coyotes Acquire:Patrick O'Sullivan,Edmonton Oilers Acquire:Jim Vandermeer,Arizona Coyotes ,Patrick O'Sullivan,Edmonton Oilers ,Jim Vandermeer
3,"Jun. 29, 2010",Montreal Canadiens Acquire:Dan EllisDustin Boyd,Nashville Predators Acquire:Sergei Kostitsyn,Montreal Canadiens ,Dan EllisDustin Boyd,Nashville Predators ,Sergei Kostitsyn
4,"Jun. 28, 2010",Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Colorado Avalanche Acquire:Daniel Winnik,Arizona Coyotes ,2012 4th round pick (COL - #102 - Rhett Holland),Colorado Avalanche ,Daniel Winnik
5,"Jun. 26, 2010",Boston Bruins Acquire:David Warsofsky,St. Louis Blues Acquire:Vladimír Sobotka,Boston Bruins ,David Warsofsky,St. Louis Blues ,Vladimír Sobotka
6,"Jun. 26, 2010",Carolina Hurricanes Acquire:Jon Matsumoto,Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Carolina Hurricanes ,Jon Matsumoto,Philadelphia Flyers ,2010 7th round pick (WSH - #206 - Ricard Blidstrand)
7,"Jun. 26, 2010",Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),Pittsburgh Penguins ,2011 7th round pick (SJS - #209 - Scott Wilson),San Jose Sharks ,2010 7th round pick (PIT - #200 - Christopher Crane)
8,"Jun. 26, 2010",Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Los Angeles Kings ,2010 6th round pick (ATL - #158 - Maxim Kitsyn),Atlanta Thrashers ,2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych)
9,"Jun. 26, 2010",Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Edmonton Oilers ,2010 7th round pick (ARI - #202 - Kellen Jones),Toronto Maple Leafs ,2011 6th round pick (EDM - #152 - David Broll)
10,"Jun. 26, 2010",New York Islanders Acquire:2011 5th round pick (WPG - #127 - Brenden Kichton),Atlanta Thrashers Acquire:2010 6th round pick (NYI - #155 - Kendall McFaull)2010 6th round pick (NYR - #160 - Tanner Lane),New York Islanders ,2011 5th round pick (WPG - #127 - Brenden Kichton),Atlanta Thrashers ,2010 6th round pick (NYI - #155 - Kendall McFaull)2010 6th round pick (NYR - #160 - Tanner Lane)
11,"Jun. 26, 2010",Carolina Hurricanes Acquire:Bobby Sanguinetti,New York Rangers Acquire:2011 2nd round pick (WSH - #57 - Tyler Wotherspoon)2010 6th round pick (CAR - #157 - Jesper Fast),Carolina Hurricanes ,Bobby Sanguinetti,New York Rangers ,2011 2nd round pick (WSH - #57 - Tyler Wotherspoon)2010 6th round pick (CAR - #157 - Jesper Fast)
12,"Jun. 26, 2010",Calgary Flames Acquire:Henrik Karlsson,San Jose Sharks Acquire:2010 6th round pick (CGY - #163 - Konrad Abeltshauser),Calgary Flames ,Henrik Karlsson,San Jose Sharks ,2010 6th round pick (CGY - #163 - Konrad Abeltshauser)
13,"Jun. 26, 2010",Toronto Maple Leafs Acquire:2010 4th round pick (WSH - #116 - Petter Granberg)2010 5th round pick (WSH - #146 - Daniel Brodin),Washington Capitals Acquire:2010 4th round pick (ARI - #112 - Philipp Grubauer),Toronto Maple Leafs ,2010 4th round pick (WSH - #116 - Petter Granberg)2010 5th round pick (WSH - #146 - Daniel Brodin),Washington Capitals ,2010 4th round pick (ARI - #112 - Philipp Grubauer)
14,"Jun. 26, 2010",Anaheim Ducks Acquire:2010 5th round pick (TOR - #122 - Chris Wagner),Toronto Maple Leafs Acquire:Mike Brown,Anaheim Ducks ,2010 5th round pick (TOR - #122 - Chris Wagner),Toronto Maple Leafs ,Mike Brown
15,"Jun. 26, 2010",Florida Panthers Acquire:2010 3rd round pick (MIN - #69 - Joe Basaraba)2010 4th round pick (MIN - #99 - Joonas Donskoi),Minnesota Wild Acquire:2010 2nd round pick (PHI - #59 - Jason Zucker),Florida Panthers ,2010 3rd round pick (MIN - #69 - Joe Basaraba)2010 4th round pick (MIN - #99 - Joonas Donskoi),Minnesota Wild ,2010 2nd round pick (PHI - #59 - Jason Zucker)
16,"Jun. 26, 2010",Colorado Avalanche Acquire:2010 3rd round pick (DAL - #71 - Michaël Bournival),Dallas Stars Acquire:2010 3rd round pick (COL - #77 - Alexander Guptill)2010 4th round pick (LAK - #109 - Alex Theriau),Colorado Avalanche ,2010 3rd round pick (DAL - #71 - Michaël Bournival),Dallas Stars ,2010 3rd round pick (COL - #77 - Alexander Guptill)2010 4th round pick (LAK - #109 - Alex Theriau)
17,"Jun. 26, 2010",Colorado Avalanche Acquire:2010 2nd round pick (LAK - #49 - Calvin Pickard)2010 4th round pick (LAK - #109 - Alex Theriau),Los Angeles Kings Acquire:2010 2nd round pick (COL - #47 - Tyler Toffoli),Colorado Avalanche ,2010 2nd round pick (LAK - #49 - Calvin Pickard)2010 4th round pick (LAK - #109 - Alex Theriau),Los Angeles Kings ,2010 2nd round pick (COL - #47 - Tyler Toffoli)
18,"Jun. 26, 2010",Carolina Hurricanes Acquire:Riley Nash,Edmonton Oilers Acquire:2010 2nd round pick (OTT - #46 - Martin Marincin),Carolina Hurricanes ,Riley Nash,Edmonton Oilers ,2010 2nd round pick (OTT - #46 - Martin Marincin)
19,"Jun. 26, 2010",Chicago Blackhawks Acquire:Jimmy Hayes,Toronto Maple Leafs Acquire:2010 2nd round pick (CGY - #43 - Brad Ross),Chicago Blackhawks ,Jimmy Hayes,Toronto Maple Leafs ,2010 2nd round pick (CGY - #43 - Brad Ross)
20,"Jun. 26, 2010",Boston Bruins Acquire:2010 7th round pick (CHI - #210 - Zach Trotman),Chicago Blackhawks Acquire:2011 7th round pick (BOS - #211 - Johan Mattsson),Boston Bruins ,2010 7th round pick (CHI - #210 - Zach Trotman),Chicago Blackhawks ,2011 7th round pick (BOS - #211 - Johan Mattsson)
21,"Jun. 26, 2010",Colorado Avalanche Acquire:2010 4th round pick (NYI - #95 - Stephen Silas),New York Islanders Acquire:2011 3rd round pick (COL - #63 - Andrey Pedan),Colorado Avalanche ,2010 4th round pick (NYI - #95 - Stephen Silas),New York Islanders ,2011 3rd round pick (COL - #63 - Andrey Pedan)
22,"Jun. 26, 2010",Los Angeles Kings Acquire:2012 3rd round pick (TOR - #66 - Jimmy Vesey),Toronto Maple Leafs Acquire:2010 3rd round pick (LAK - #79 - Sondre Olden),Los Angeles Kings ,2012 3rd round pick (TOR - #66 - Jimmy Vesey),Toronto Maple Leafs ,2010 3rd round pick (LAK - #79 - Sondre Olden)
