,DATE,TRADE DETAILS,TRADE DETAILS.1,TRADE DETAILS.2,TRADE DETAILS.3,TRADE DETAILS.4,TRADE DETAILS.5,TRADE DETAILS.6,TRADE DETAILS.7,TRADE DETAILS.8,TRADE DETAILS.9,TRADE DETAILS.10,TRADE DETAILS.11,TRADE DETAILS.12,TRADE DETAILS.13,TRADE DETAILS.14,TRADE DETAILS.15,TRADE DETAILS.16,TRADE DETAILS.17,TRADE DETAILS.18,TRADE DETAILS.19,TRADE DETAILS.20,TRADE DETAILS.21,TRADE DETAILS.22,TRADE DETAILS.23,TRADE DETAILS.24,TRADE DETAILS.25,TRADE DETAILS.26,TRADE DETAILS.27,TRADE DETAILS.28,TRADE DETAILS.29,TRADE DETAILS.30,TRADE DETAILS.31,TRADE DETAILS.32,TRADE DETAILS.33
0,"Jun. 30, 2010",Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,Anaheim Ducks Acquire:Jason Jaffray,,,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan,Calgary Flames Acquire:Logan MacMillan
1,"Jun. 30, 2010",Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,Chicago Blackhawks Acquire:Philippe ParadisViktor StalbergChris DiDomenico,,,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt,Toronto Maple Leafs Acquire:Kris VersteegBill Sweatt
2,"Jun. 30, 2010",Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,Arizona Coyotes Acquire:Patrick O'Sullivan,,,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer,Edmonton Oilers Acquire:Jim Vandermeer
3,"Jun. 29, 2010",Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,Montreal Canadiens Acquire:Dan EllisDustin Boyd,,,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn,Nashville Predators Acquire:Sergei Kostitsyn
4,"Jun. 28, 2010",Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),Arizona Coyotes Acquire:2012 4th round pick (COL - #102 - Rhett Holland),,,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik,Colorado Avalanche Acquire:Daniel Winnik
5,"Jun. 26, 2010",Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,Boston Bruins Acquire:David Warsofsky,,,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka,St. Louis Blues Acquire:Vladimír Sobotka
6,"Jun. 26, 2010",Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,Carolina Hurricanes Acquire:Jon Matsumoto,,,Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Philadelphia Flyers Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand)
7,"Jun. 26, 2010",Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),Pittsburgh Penguins Acquire:2011 7th round pick (SJS - #209 - Scott Wilson),,,San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane),San Jose Sharks Acquire:2010 7th round pick (PIT - #200 - Christopher Crane)
8,"Jun. 26, 2010",Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),Los Angeles Kings Acquire:2010 6th round pick (ATL - #158 - Maxim Kitsyn),,,Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych),Atlanta Thrashers Acquire:2010 6th round pick (LAK - #169 - Sebastian Owuya)2010 7th round pick (LAK - #199 - Peter Stoykewych)
9,"Jun. 26, 2010",Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),Edmonton Oilers Acquire:2010 7th round pick (ARI - #202 - Kellen Jones),,,Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll),Toronto Maple Leafs Acquire:2011 6th round pick (EDM - #152 - David Broll)
