Goalies (2),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Bussi, Brandon",1 UFA,,G,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"DiPietro, Michael",1 RFA,,G,Minor,Trade,25,-,"$775,000 ",RFA,,,,
TOTAL,,,,,,25.5,-,"$1,550,000 ",,,,,
