"Goalies (1 - $3,000,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Korpisalo, Joonas",4 UFA,RSM-NTC,G,NHL,Trade,30,3.4,"$3,000,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 ",UFA,
"Swayman, Jeremy",0 RFA,,G,NHL,Draft,25,,RFA,,,,,
TOTAL,,,,,,27.5,3.4,"$3,000,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 ",,
