,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,x_receieved,Team_y,y_receieved
95,"Jul. 26, 2021",Boston Bruins Acquire:James Greenway · $0$0$0 (AHL/JR) (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Toronto Maple Leafs Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: $0Change: $0,Boston Bruins ,James Greenway · $0$0$0 (AHL/JR) (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Toronto Maple Leafs ,Future ConsiderationsSum: $0$0$0Change: $0Change: $0Change: $0
96,"Jul. 26, 2021",New Jersey Devils Acquire:Christian Jaros · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks Acquire:Nick Merkley · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,New Jersey Devils ,Christian Jaros · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks ,Nick Merkley · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0
97,"Jul. 24, 2021",Arizona Coyotes Acquire:2021 7th round pick (MTL - #223 - Sam Lipkin)Sum: $0$0$0Change: $0Change: $0Change: $0,Montreal Canadiens Acquire:2022 7th round pick (STL - #216 - Miguël Tourigny)Sum: $0$0$0Change: $0Change: $0Change: $0,Arizona Coyotes ,2021 7th round pick (MTL - #223 - Sam Lipkin)Sum: $0$0$0Change: $0Change: $0Change: $0,Montreal Canadiens ,2022 7th round pick (STL - #216 - Miguël Tourigny)Sum: $0$0$0Change: $0Change: $0Change: $0
98,"Jul. 24, 2021",Minnesota Wild Acquire:2021 4th round pick (MTL - #127 - Josh Pillar)Sum: $0$0$0Change: $0Change: $0Change: $0,Montreal Canadiens Acquire:2021 5th round pick (MIN - #150 - Joshua Roy)2021 7th round pick (MIN - #214 - Joe Vrbetic)Sum: $0$0$0Change: $0Change: $0Change: $0,Minnesota Wild ,2021 4th round pick (MTL - #127 - Josh Pillar)Sum: $0$0$0Change: $0Change: $0Change: $0,Montreal Canadiens ,2021 5th round pick (MIN - #150 - Joshua Roy)2021 7th round pick (MIN - #214 - Joe Vrbetic)Sum: $0$0$0Change: $0Change: $0Change: $0
99,"Jul. 24, 2021",Montreal Canadiens Acquire:2022 4th round pick (TBL - #128 - Cameron Whitehead)Sum: $0$0$0Change: $0Change: $0Change: $0,Tampa Bay Lightning Acquire:2021 4th round pick (VGK - #126 - Dylan Duke)Sum: $0$0$0Change: $0Change: $0Change: $0,Montreal Canadiens ,2022 4th round pick (TBL - #128 - Cameron Whitehead)Sum: $0$0$0Change: $0Change: $0Change: $0,Tampa Bay Lightning ,2021 4th round pick (VGK - #126 - Dylan Duke)Sum: $0$0$0Change: $0Change: $0Change: $0
100,"Jul. 24, 2021",Carolina Hurricanes Acquire:2021 5th round pick (LAK - #136 - Robert Orr)2021 6th round pick (OTT - #170 - Bryce Montgomery)Sum: $0$0$0Change: $0Change: $0Change: $0,Ottawa Senators Acquire:2021 4th round pick (CAR - #123 - Carson Latimer)Sum: $0$0$0Change: $0Change: $0Change: $0,Carolina Hurricanes ,2021 5th round pick (LAK - #136 - Robert Orr)2021 6th round pick (OTT - #170 - Bryce Montgomery)Sum: $0$0$0Change: $0Change: $0Change: $0,Ottawa Senators ,2021 4th round pick (CAR - #123 - Carson Latimer)Sum: $0$0$0Change: $0Change: $0Change: $0
101,"Jul. 24, 2021",Detroit Red Wings Acquire:2021 4th round pick (WPG - #114 - Redmond Savage)2021 5th round pick (CAR - #155 - Oscar Plandowski)Sum: $0$0$0Change: $0Change: $0Change: $0,Vegas Golden Knights Acquire:2021 4th round pick (DET - #102 - Jakub Brabenec)Sum: $0$0$0Change: $0Change: $0Change: $0,Detroit Red Wings ,2021 4th round pick (WPG - #114 - Redmond Savage)2021 5th round pick (CAR - #155 - Oscar Plandowski)Sum: $0$0$0Change: $0Change: $0Change: $0,Vegas Golden Knights ,2021 4th round pick (DET - #102 - Jakub Brabenec)Sum: $0$0$0Change: $0Change: $0Change: $0
102,"Jul. 24, 2021",Carolina Hurricanes Acquire:2022 3rd round pick (CHI - #71 - Alexander Perevalov)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2021 3rd round pick (CAR - #91 - Taige Harding)Sum: $0$0$0Change: $0Change: $0Change: $0,Carolina Hurricanes ,2022 3rd round pick (CHI - #71 - Alexander Perevalov)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks ,2021 3rd round pick (CAR - #91 - Taige Harding)Sum: $0$0$0Change: $0Change: $0Change: $0
103,"Jul. 24, 2021",Calgary Flames Acquire:2021 3rd round pick (TOR - #89 - Cameron Whynot)2021 6th round pick (LAK - #168 - Jack Beck)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings Acquire:2021 3rd round pick (EDM - #84 - Kirill Kirsanov)Sum: $0$0$0Change: $0Change: $0Change: $0,Calgary Flames ,2021 3rd round pick (TOR - #89 - Cameron Whynot)2021 6th round pick (LAK - #168 - Jack Beck)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings ,2021 3rd round pick (EDM - #84 - Kirill Kirsanov)Sum: $0$0$0Change: $0Change: $0Change: $0
104,"Jul. 24, 2021",Anaheim Ducks Acquire:2021 3rd round pick (CHI - #76 - Tyson Hinds)Sum: $0$0$0Change: $0Change: $0Change: $0,Montreal Canadiens Acquire:2022 3rd round pick (ANA - #75 - Vinzenz Rohrer)Sum: $0$0$0Change: $0Change: $0Change: $0,Anaheim Ducks ,2021 3rd round pick (CHI - #76 - Tyson Hinds)Sum: $0$0$0Change: $0Change: $0Change: $0,Montreal Canadiens ,2022 3rd round pick (ANA - #75 - Vinzenz Rohrer)Sum: $0$0$0Change: $0Change: $0Change: $0
105,"Jul. 24, 2021","Buffalo Sabres Acquire:Devon Levi · $0$0$0 (AHL/JR) (Signing Rights)2022 1st round pick (FLA - #28 - Jiri Kulich) [Conditional]**Conditions: If the pick is in the top 10, the pick will be exchanged with Florida's 2023 1st round pick Result: Buffalo will receive Florida's 2022 1st round pick.Sum: $0$0$0Change: $0Change: $0Change: $0",Florida Panthers Acquire:Sam Reinhart · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Buffalo Sabres ,"Devon Levi · $0$0$0 (AHL/JR) (Signing Rights)2022 1st round pick (FLA - #28 - Jiri Kulich) [Conditional]**Conditions: If the pick is in the top 10, the pick will be exchanged with Florida's 2023 1st round pick Result: Buffalo will receive Florida's 2022 1st round pick.Sum: $0$0$0Change: $0Change: $0Change: $0",Florida Panthers ,Sam Reinhart · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0
106,"Jul. 24, 2021",New York Rangers Acquire:2021 3rd round pick (ARI - #75 - Ryder Korczak)Sum: $0$0$0Change: $0Change: $0Change: $0,Washington Capitals Acquire:2021 3rd round pick (NYR - #80 - Brent Johnson)2021 6th round pick (NYR - #176 - Dru Krebs)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Rangers ,2021 3rd round pick (ARI - #75 - Ryder Korczak)Sum: $0$0$0Change: $0Change: $0Change: $0,Washington Capitals ,2021 3rd round pick (NYR - #80 - Brent Johnson)2021 6th round pick (NYR - #176 - Dru Krebs)Sum: $0$0$0Change: $0Change: $0Change: $0
107,"Jul. 24, 2021",Carolina Hurricanes Acquire:2021 3rd round pick (NSH - #83 - Patrik Hamrla)2021 5th round pick (NSH - #147 - Justin Robidas)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators Acquire:2021 3rd round pick (LAK - #72 - Anton Olsson)Sum: $0$0$0Change: $0Change: $0Change: $0,Carolina Hurricanes ,2021 3rd round pick (NSH - #83 - Patrik Hamrla)2021 5th round pick (NSH - #147 - Justin Robidas)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators ,2021 3rd round pick (LAK - #72 - Anton Olsson)Sum: $0$0$0Change: $0Change: $0Change: $0
108,"Jul. 24, 2021",San Jose Sharks Acquire:2021 3rd round pick (STL - #81 - Benjamin Gaudreau)2021 6th round pick (STL - #177 - Theo Jacobsson)Sum: $0$0$0Change: $0Change: $0Change: $0,St. Louis Blues Acquire:2021 3rd round pick (SJS - #71 - Simon Robertsson)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks ,2021 3rd round pick (STL - #81 - Benjamin Gaudreau)2021 6th round pick (STL - #177 - Theo Jacobsson)Sum: $0$0$0Change: $0Change: $0Change: $0,St. Louis Blues ,2021 3rd round pick (SJS - #71 - Simon Robertsson)Sum: $0$0$0Change: $0Change: $0Change: $0
109,"Jul. 24, 2021",Carolina Hurricanes Acquire:2021 3rd round pick (LAK - #72 - Anton Olsson)2021 4th round pick (CGY - #109 - Jackson Blake)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings Acquire:2021 2nd round pick (CAR - #59 - Samuel Helenius)Sum: $0$0$0Change: $0Change: $0Change: $0,Carolina Hurricanes ,2021 3rd round pick (LAK - #72 - Anton Olsson)2021 4th round pick (CGY - #109 - Jackson Blake)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings ,2021 2nd round pick (CAR - #59 - Samuel Helenius)Sum: $0$0$0Change: $0Change: $0Change: $0
110,"Jul. 24, 2021","Columbus Blue Jackets Acquire:Jakub Voracek · $8,250,000$8,250,000$7,500,000Sum: $8,250,000$8,250,000$7,500,000Change: +$2,375,000Change: +$2,375,000Change: +$2,225,000","Philadelphia Flyers Acquire:Cam Atkinson · $5,875,000$5,875,000$5,275,000Sum: $5,875,000$5,875,000$5,275,000Change: -$2,375,000Change: -$2,375,000Change: -$2,225,000",Columbus Blue Jackets ,"Jakub Voracek · $8,250,000$8,250,000$7,500,000Sum: $8,250,000$8,250,000$7,500,000Change: +$2,375,000Change: +$2,375,000Change: +$2,225,000",Philadelphia Flyers ,"Cam Atkinson · $5,875,000$5,875,000$5,275,000Sum: $5,875,000$5,875,000$5,275,000Change: -$2,375,000Change: -$2,375,000Change: -$2,225,000"
111,"Jul. 24, 2021",Los Angeles Kings Acquire:2021 2nd round pick (OTT - #42 - Francesco Pinelli)Sum: $0$0$0Change: $0Change: $0Change: $0,Ottawa Senators Acquire:2021 2nd round pick (STL - #49 - Ben Roger)2021 5th round pick (LAK - #136 - Robert Orr)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings ,2021 2nd round pick (OTT - #42 - Francesco Pinelli)Sum: $0$0$0Change: $0Change: $0Change: $0,Ottawa Senators ,2021 2nd round pick (STL - #49 - Ben Roger)2021 5th round pick (LAK - #136 - Robert Orr)Sum: $0$0$0Change: $0Change: $0Change: $0
112,"Jul. 24, 2021",Detroit Red Wings Acquire:2021 2nd round pick (NJD - #36 - Shai Buium)Sum: $0$0$0Change: $0Change: $0Change: $0,Vegas Golden Knights Acquire:2021 2nd round pick (DET - #38 - Daniil Chayka)2021 4th round pick (TBL - #128 - Jakub Demek)Sum: $0$0$0Change: $0Change: $0Change: $0,Detroit Red Wings ,2021 2nd round pick (NJD - #36 - Shai Buium)Sum: $0$0$0Change: $0Change: $0Change: $0,Vegas Golden Knights ,2021 2nd round pick (DET - #38 - Daniil Chayka)2021 4th round pick (TBL - #128 - Jakub Demek)Sum: $0$0$0Change: $0Change: $0Change: $0
113,"Jul. 24, 2021","Arizona Coyotes Acquire:Bokondji Imama · $0$0$0 (AHL/JR) (Signing Rights)Cole Hults · $0$925,000$70,000 (AHL/JR)Sum: $0$925,000$70,000Change: $0Change: +$925,000Change: +$70,000","Los Angeles Kings Acquire:Brayden Burke · $0$0$0 (AHL/JR) (Signing Rights)Tyler Steenbergen · $0$0$0 (AHL/JR) (Signing Rights)Sum: $0$0$0Change: $0Change: -$925,000Change: -$70,000",Arizona Coyotes ,"Bokondji Imama · $0$0$0 (AHL/JR) (Signing Rights)Cole Hults · $0$925,000$70,000 (AHL/JR)Sum: $0$925,000$70,000Change: $0Change: +$925,000Change: +$70,000",Los Angeles Kings ,"Brayden Burke · $0$0$0 (AHL/JR) (Signing Rights)Tyler Steenbergen · $0$0$0 (AHL/JR) (Signing Rights)Sum: $0$0$0Change: $0Change: -$925,000Change: -$70,000"
114,"Jul. 23, 2021",Carolina Hurricanes Acquire:2021 2nd round pick (LAK - #40 - Scott Morrow)2021 2nd round pick (NSH - #51 - Ville Koivunen)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators Acquire:2021 1st round pick (CAR - #27 - Zachary L'Heureux)Sum: $0$0$0Change: $0Change: $0Change: $0,Carolina Hurricanes ,2021 2nd round pick (LAK - #40 - Scott Morrow)2021 2nd round pick (NSH - #51 - Ville Koivunen)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators ,2021 1st round pick (CAR - #27 - Zachary L'Heureux)Sum: $0$0$0Change: $0Change: $0Change: $0
115,"Jul. 23, 2021",Edmonton Oilers Acquire:2021 1st round pick (MIN - #22 - Xavier Bourgault)2021 3rd round pick (PIT - #90 - Luca Münzenberger)Sum: $0$0$0Change: $0Change: $0Change: $0,Minnesota Wild Acquire:2021 1st round pick (EDM - #20 - Jesper Wallstedt)Sum: $0$0$0Change: $0Change: $0Change: $0,Edmonton Oilers ,2021 1st round pick (MIN - #22 - Xavier Bourgault)2021 3rd round pick (PIT - #90 - Luca Münzenberger)Sum: $0$0$0Change: $0Change: $0Change: $0,Minnesota Wild ,2021 1st round pick (EDM - #20 - Jesper Wallstedt)Sum: $0$0$0Change: $0Change: $0Change: $0
116,"Jul. 23, 2021",Dallas Stars Acquire:2021 1st round pick (WSH - #23 - Wyatt Johnston)2021 2nd round pick (NYR - #48 - Artem Grushnikov)2021 5th round pick (OTT - #138 - Jack Bar)Sum: $0$0$0Change: $0Change: $0Change: $0,Detroit Red Wings Acquire:2021 1st round pick (DAL - #15 - Sebastian Cossa)Sum: $0$0$0Change: $0Change: $0Change: $0,Dallas Stars ,2021 1st round pick (WSH - #23 - Wyatt Johnston)2021 2nd round pick (NYR - #48 - Artem Grushnikov)2021 5th round pick (OTT - #138 - Jack Bar)Sum: $0$0$0Change: $0Change: $0Change: $0,Detroit Red Wings ,2021 1st round pick (DAL - #15 - Sebastian Cossa)Sum: $0$0$0Change: $0Change: $0Change: $0
117,"Jul. 23, 2021",Carolina Hurricanes Acquire:2021 2nd round pick (CHI - #44 - Aleksi Heimosalmi)Sum: $0$0$0Change: $0Change: $0Change: $0,Columbus Blue Jackets Acquire:Jake Bean · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Carolina Hurricanes ,2021 2nd round pick (CHI - #44 - Aleksi Heimosalmi)Sum: $0$0$0Change: $0Change: $0Change: $0,Columbus Blue Jackets ,Jake Bean · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0
118,"Jul. 23, 2021","Chicago Blackhawks Acquire:Seth Jones · $5,400,000$5,400,000$5,400,0002021 1st round pick (TBL - #32 - Nolan Allan)2022 6th round pick (CBJ - #173 - Dominic James)Sum: $5,400,000$5,400,000$5,400,000Change: +$4,505,833Change: +$4,505,833Change: +$4,567,500","Columbus Blue Jackets Acquire:Adam Boqvist · $894,167$894,167$832,5002021 1st round pick (CHI - #12 - Cole Sillinger)2021 2nd round pick (CHI - #44 - Aleksi Heimosalmi)2022 1st round pick (CHI - #6 - David Jiricek) [Conditional]**Conditions: If Chicago wins one of the the 2022 draft lotteries and the lottery win results in the pick being top 2 overall, the pick becomes their 2023 1st round pick. Result: Chicago did not win one of the draft lotteries. Columbus will receive Chicago's 2022 1st round pick.Sum: $894,167$894,167$832,500Change: -$4,505,833Change: -$4,505,833Change: -$4,567,500",Chicago Blackhawks ,"Seth Jones · $5,400,000$5,400,000$5,400,0002021 1st round pick (TBL - #32 - Nolan Allan)2022 6th round pick (CBJ - #173 - Dominic James)Sum: $5,400,000$5,400,000$5,400,000Change: +$4,505,833Change: +$4,505,833Change: +$4,567,500",Columbus Blue Jackets ,"Adam Boqvist · $894,167$894,167$832,5002021 1st round pick (CHI - #12 - Cole Sillinger)2021 2nd round pick (CHI - #44 - Aleksi Heimosalmi)2022 1st round pick (CHI - #6 - David Jiricek) [Conditional]**Conditions: If Chicago wins one of the the 2022 draft lotteries and the lottery win results in the pick being top 2 overall, the pick becomes their 2023 1st round pick. Result: Chicago did not win one of the draft lotteries. Columbus will receive Chicago's 2022 1st round pick.Sum: $894,167$894,167$832,500Change: -$4,505,833Change: -$4,505,833Change: -$4,567,500"
119,"Jul. 23, 2021","Arizona Coyotes Acquire:Antoine Roussel · $3,000,000$3,000,000$1,900,000Jay Beagle · $3,000,000$3,000,000$2,200,000Loui Eriksson · $6,000,000$6,000,000$4,000,0002021 1st round pick (VAN - #9 - Dylan Guenther)2022 2nd round pick (VAN - #47 - Hunter Haight)2023 7th round pick (VAN - #203 - Yegor Rimashevsky)Sum: $12,000,000$12,000,000$8,100,000Change: +$4,740,000Change: +$4,740,000Change: +$123,600,000","Vancouver Canucks Acquire:Oliver Ekman-Larsson ($990,000 retained - 12%) · $7,260,000$7,260,000$0Conor Garland · $0$0$0 (Signing Rights)Sum: $7,260,000$7,260,000$0Change: -$4,740,000Change: -$4,740,000Change: -$123,600,000",Arizona Coyotes ,"Antoine Roussel · $3,000,000$3,000,000$1,900,000Jay Beagle · $3,000,000$3,000,000$2,200,000Loui Eriksson · $6,000,000$6,000,000$4,000,0002021 1st round pick (VAN - #9 - Dylan Guenther)2022 2nd round pick (VAN - #47 - Hunter Haight)2023 7th round pick (VAN - #203 - Yegor Rimashevsky)Sum: $12,000,000$12,000,000$8,100,000Change: +$4,740,000Change: +$4,740,000Change: +$123,600,000",Vancouver Canucks ,"Oliver Ekman-Larsson ($990,000 retained - 12%) · $7,260,000$7,260,000$0Conor Garland · $0$0$0 (Signing Rights)Sum: $7,260,000$7,260,000$0Change: -$4,740,000Change: -$4,740,000Change: -$123,600,000"
120,"Jul. 23, 2021","New York Rangers Acquire:Samuel Blais · $1,500,000$1,500,000$1,600,0002022 2nd round pick (STL - #55 - Elias Salomonsson)Sum: $1,500,000$1,500,000$1,600,000Change: +$1,500,000Change: +$1,500,000Change: +$1,600,000","St. Louis Blues Acquire:Pavel Buchnevich · $0$0$0 (Signing Rights)Sum: $0$0$0Change: -$1,500,000Change: -$1,500,000Change: -$1,600,000",New York Rangers ,"Samuel Blais · $1,500,000$1,500,000$1,600,0002022 2nd round pick (STL - #55 - Elias Salomonsson)Sum: $1,500,000$1,500,000$1,600,000Change: +$1,500,000Change: +$1,500,000Change: +$1,600,000",St. Louis Blues ,"Pavel Buchnevich · $0$0$0 (Signing Rights)Sum: $0$0$0Change: -$1,500,000Change: -$1,500,000Change: -$1,600,000"
121,"Jul. 23, 2021","Buffalo Sabres Acquire:Robert Hägg · $1,600,000$1,600,000$1,700,0002021 1st round pick (PHI - #14 - Isak Rosén)2023 2nd round pick (PHI - #39 - Anton Wahlberg)Sum: $1,600,000$1,600,000$1,700,000Change: -$3,800,000Change: -$3,800,000Change: -$3,700,000","Philadelphia Flyers Acquire:Rasmus Ristolainen · $5,400,000$5,400,000$5,400,000Sum: $5,400,000$5,400,000$5,400,000Change: +$3,800,000Change: +$3,800,000Change: +$3,700,000",Buffalo Sabres ,"Robert Hägg · $1,600,000$1,600,000$1,700,0002021 1st round pick (PHI - #14 - Isak Rosén)2023 2nd round pick (PHI - #39 - Anton Wahlberg)Sum: $1,600,000$1,600,000$1,700,000Change: -$3,800,000Change: -$3,800,000Change: -$3,700,000",Philadelphia Flyers ,"Rasmus Ristolainen · $5,400,000$5,400,000$5,400,000Sum: $5,400,000$5,400,000$5,400,000Change: +$3,800,000Change: +$3,800,000Change: +$3,700,000"
122,"Jul. 22, 2021","Calgary Flames Acquire:Tyler Pitlick · $1,750,000$1,750,000$2,200,000Sum: $1,750,000$1,750,000$2,200,000Change: +$1,750,000Change: +$1,750,000Change: +$2,200,000","Seattle Kraken Acquire:2022 4th round pick (CGY - #123 - Tucker Robertson)Sum: $0$0$0Change: -$1,750,000Change: -$1,750,000Change: -$2,200,000",Calgary Flames ,"Tyler Pitlick · $1,750,000$1,750,000$2,200,000Sum: $1,750,000$1,750,000$2,200,000Change: +$1,750,000Change: +$1,750,000Change: +$2,200,000",Seattle Kraken ,"2022 4th round pick (CGY - #123 - Tucker Robertson)Sum: $0$0$0Change: -$1,750,000Change: -$1,750,000Change: -$2,200,000"
123,"Jul. 22, 2021",Carolina Hurricanes Acquire:Jonathan Bernier · $0$0$0 (Signing Rights)2021 3rd round pick (VGK - #94 - Aidan Hreschuk)Sum: $0$0$0Change: $0Change: $0Change: $0,Detroit Red Wings Acquire:Alex Nedeljkovic · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Carolina Hurricanes ,Jonathan Bernier · $0$0$0 (Signing Rights)2021 3rd round pick (VGK - #94 - Aidan Hreschuk)Sum: $0$0$0Change: $0Change: $0Change: $0,Detroit Red Wings ,Alex Nedeljkovic · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0
124,"Jul. 22, 2021","Arizona Coyotes Acquire:Shayne Gostisbehere · $4,500,000$4,500,000$3,250,0002022 2nd round pick (PHI - #36 - Artem Duda)2022 7th round pick (STL - #216 - Miguël Tourigny)Sum: $4,500,000$4,500,000$3,250,000Change: +$4,500,000Change: +$4,500,000Change: +$3,250,000","Philadelphia Flyers Acquire:Future ConsiderationsSum: $0$0$0Change: -$4,500,000Change: -$4,500,000Change: -$3,250,000",Arizona Coyotes ,"Shayne Gostisbehere · $4,500,000$4,500,000$3,250,0002022 2nd round pick (PHI - #36 - Artem Duda)2022 7th round pick (STL - #216 - Miguël Tourigny)Sum: $4,500,000$4,500,000$3,250,000Change: +$4,500,000Change: +$4,500,000Change: +$3,250,000",Philadelphia Flyers ,"Future ConsiderationsSum: $0$0$0Change: -$4,500,000Change: -$4,500,000Change: -$3,250,000"
125,"Jul. 17, 2021","Arizona Coyotes Acquire:Andrew Ladd · $4,375,000$5,500,000$4,000,000 (AHL/JR)2021 2nd round pick (COL - #60 - J.J. Moser)2022 2nd round pick (NYI - #45 - Mattias Hävelid) [Conditional]*2023 3rd round pick (NYI - #81 - Tanner Ludtke) [Conditional]***Conditions: Coyotes receive the better of the two 2022 2nd round picks the Islanders currently hold (NYI, COL) Result: Coyotes receive Islanders 2022 2nd round pick.**Conditions: The pick is transferred to Arizona if Ladd: 1. Does not play in any professional games in 2022-23 while under his current contract, and 2. Does not retire prior to the conclusion of the 2022-23 regular season. Result: Arizona will receive the 2023 3rd round pickSum: $4,375,000$5,500,000$4,000,000Change: +$4,375,000Change: +$5,500,000Change: +$4,000,000","New York Islanders Acquire:Future ConsiderationsSum: $0$0$0Change: -$4,375,000Change: -$5,500,000Change: -$4,000,000",Arizona Coyotes ,"Andrew Ladd · $4,375,000$5,500,000$4,000,000 (AHL/JR)2021 2nd round pick (COL - #60 - J.J. Moser)2022 2nd round pick (NYI - #45 - Mattias Hävelid) [Conditional]*2023 3rd round pick (NYI - #81 - Tanner Ludtke) [Conditional]***Conditions: Coyotes receive the better of the two 2022 2nd round picks the Islanders currently hold (NYI, COL) Result: Coyotes receive Islanders 2022 2nd round pick.**Conditions: The pick is transferred to Arizona if Ladd: 1. Does not play in any professional games in 2022-23 while under his current contract, and 2. Does not retire prior to the conclusion of the 2022-23 regular season. Result: Arizona will receive the 2023 3rd round pickSum: $4,375,000$5,500,000$4,000,000Change: +$4,375,000Change: +$5,500,000Change: +$4,000,000",New York Islanders ,"Future ConsiderationsSum: $0$0$0Change: -$4,375,000Change: -$5,500,000Change: -$4,000,000"
126,"Jul. 17, 2021","Nashville Predators Acquire:Cody Glass · $0$863,333$70,000 (AHL/JR)Sum: $0$863,333$70,000Change: $0Change: +$863,333Change: +$70,000","Vegas Golden Knights Acquire:Nolan Patrick · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: -$863,333Change: -$70,000",Nashville Predators ,"Cody Glass · $0$863,333$70,000 (AHL/JR)Sum: $0$863,333$70,000Change: $0Change: +$863,333Change: +$70,000",Vegas Golden Knights ,"Nolan Patrick · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: -$863,333Change: -$70,000"
127,"Jul. 17, 2021","Nashville Predators Acquire:Philippe Myers · $2,550,000$2,550,000$2,550,000Nolan Patrick · $0$0$0 (Signing Rights)Sum: $2,550,000$2,550,000$2,550,000Change: -$3,700,000Change: -$3,700,000Change: -$5,150,000","Philadelphia Flyers Acquire:Ryan Ellis · $6,250,000$6,250,000$7,700,000Sum: $6,250,000$6,250,000$7,700,000Change: +$3,700,000Change: +$3,700,000Change: +$5,150,000",Nashville Predators ,"Philippe Myers · $2,550,000$2,550,000$2,550,000Nolan Patrick · $0$0$0 (Signing Rights)Sum: $2,550,000$2,550,000$2,550,000Change: -$3,700,000Change: -$3,700,000Change: -$5,150,000",Philadelphia Flyers ,"Ryan Ellis · $6,250,000$6,250,000$7,700,000Sum: $6,250,000$6,250,000$7,700,000Change: +$3,700,000Change: +$3,700,000Change: +$5,150,000"
128,"Jul. 17, 2021","New York Rangers Acquire:Nick DeSimone · $0$0$0 (AHL/JR) (Signing Rights)2022 4th round pick (WPG - #111 - Noah Laba)Sum: $0$0$0Change: -$885,000Change: -$885,000Change: -$885,000","Vegas Golden Knights Acquire:Brett Howden · $885,000$885,000$885,000Sum: $885,000$885,000$885,000Change: +$885,000Change: +$885,000Change: +$885,000",New York Rangers ,"Nick DeSimone · $0$0$0 (AHL/JR) (Signing Rights)2022 4th round pick (WPG - #111 - Noah Laba)Sum: $0$0$0Change: -$885,000Change: -$885,000Change: -$885,000",Vegas Golden Knights ,"Brett Howden · $885,000$885,000$885,000Sum: $885,000$885,000$885,000Change: +$885,000Change: +$885,000Change: +$885,000"
129,"Jul. 17, 2021",New York Rangers Acquire:Barclay Goodrow · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Tampa Bay Lightning Acquire:2022 7th round pick (NYR - #223 - Dyllan Gill)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Rangers ,Barclay Goodrow · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Tampa Bay Lightning ,2022 7th round pick (NYR - #223 - Dyllan Gill)Sum: $0$0$0Change: $0Change: $0Change: $0
130,"Jul. 17, 2021","Pittsburgh Penguins Acquire:Filip Hållander · $0$764,167$750,0002023 7th round pick (TOR - #217 - Emil Järventie)Sum: $0$764,167$750,000Change: -$2,940,000Change: -$2,175,833Change: -$2,630,000","Toronto Maple Leafs Acquire:Jared McCann · $2,940,000$2,940,000$3,380,000Sum: $2,940,000$2,940,000$3,380,000Change: +$2,940,000Change: +$2,175,833Change: +$2,630,000",Pittsburgh Penguins ,"Filip Hållander · $0$764,167$750,0002023 7th round pick (TOR - #217 - Emil Järventie)Sum: $0$764,167$750,000Change: -$2,940,000Change: -$2,175,833Change: -$2,630,000",Toronto Maple Leafs ,"Jared McCann · $2,940,000$2,940,000$3,380,000Sum: $2,940,000$2,940,000$3,380,000Change: +$2,940,000Change: +$2,175,833Change: +$2,630,000"
