,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,x_receieved,Team_y,y_receieved
75,"Sep. 25, 2021","Ottawa Senators Acquire:Zachary Sanford · $2,000,000$2,000,000$2,000,000Sum: $2,000,000$2,000,000$2,000,000Change: +$2,000,000Change: +$1,250,000Change: +$1,900,000","St. Louis Blues Acquire:Logan Brown · $0$750,000$100,000 (AHL/JR)2022 4th round pick (OTT - #104 - Stephen Halliday) [Conditional]**Conditions: Sens retain the 2022 4th round pick if Brown plays in 30 regular season games for the Blues in 2021-22 Result: Brown played 30 games with St. Louis. Ottawa retains the 2022 4th round pick.Sum: $0$750,000$100,000Change: -$2,000,000Change: -$1,250,000Change: -$1,900,000",Ottawa Senators ,"Zachary Sanford · $2,000,000$2,000,000$2,000,000Sum: $2,000,000$2,000,000$2,000,000Change: +$2,000,000Change: +$1,250,000Change: +$1,900,000",St. Louis Blues ,"Logan Brown · $0$750,000$100,000 (AHL/JR)2022 4th round pick (OTT - #104 - Stephen Halliday) [Conditional]**Conditions: Sens retain the 2022 4th round pick if Brown plays in 30 regular season games for the Blues in 2021-22 Result: Brown played 30 games with St. Louis. Ottawa retains the 2022 4th round pick.Sum: $0$750,000$100,000Change: -$2,000,000Change: -$1,250,000Change: -$1,900,000"
76,"Sep. 4, 2021","Arizona Coyotes Acquire:2022 1st round pick (CAR - #27 - Filip Bystedt) [Conditional]*2024 2nd round pick (MTL - #37)*Conditions: The better of Montreal/Carolina's 2022 1st round pick BUT if either or both are top 10 picks then Montreal will instead transfer to Arizona the worse of Montreal/Carolina's 2022 1st round pick. Result: Arizona will receive Carolina's 2022 1st round pickSum: $0$0$0Change: -$4,450,000Change: -$4,450,000Change: -$5,075,000","Montreal Canadiens Acquire:Christian Dvorak · $4,450,000$4,450,000$5,075,000Sum: $4,450,000$4,450,000$5,075,000Change: +$4,450,000Change: +$4,450,000Change: +$5,075,000",Arizona Coyotes ,"2022 1st round pick (CAR - #27 - Filip Bystedt) [Conditional]*2024 2nd round pick (MTL - #37)*Conditions: The better of Montreal/Carolina's 2022 1st round pick BUT if either or both are top 10 picks then Montreal will instead transfer to Arizona the worse of Montreal/Carolina's 2022 1st round pick. Result: Arizona will receive Carolina's 2022 1st round pickSum: $0$0$0Change: -$4,450,000Change: -$4,450,000Change: -$5,075,000",Montreal Canadiens ,"Christian Dvorak · $4,450,000$4,450,000$5,075,000Sum: $4,450,000$4,450,000$5,075,000Change: +$4,450,000Change: +$4,450,000Change: +$5,075,000"
77,"Jul. 31, 2021","Tampa Bay Lightning Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$800,000Change: -$105,000","Vancouver Canucks Acquire:Spencer Martin · $0$800,000$105,000 (AHL/JR)Sum: $0$800,000$105,000Change: $0Change: +$800,000Change: +$105,000",Tampa Bay Lightning ,"Future ConsiderationsSum: $0$0$0Change: $0Change: -$800,000Change: -$105,000",Vancouver Canucks ,"Spencer Martin · $0$800,000$105,000 (AHL/JR)Sum: $0$800,000$105,000Change: $0Change: +$800,000Change: +$105,000"
78,"Jul. 30, 2021","Detroit Red Wings Acquire:Mitchell Stephens · $737,500$737,500$775,000Sum: $737,500$737,500$775,000Change: +$737,500Change: +$737,500Change: +$775,000","Tampa Bay Lightning Acquire:2022 6th round pick (DET - #169 - Jared Wright)Sum: $0$0$0Change: -$737,500Change: -$737,500Change: -$775,000",Detroit Red Wings ,"Mitchell Stephens · $737,500$737,500$775,000Sum: $737,500$737,500$775,000Change: +$737,500Change: +$737,500Change: +$775,000",Tampa Bay Lightning ,"2022 6th round pick (DET - #169 - Jared Wright)Sum: $0$0$0Change: -$737,500Change: -$737,500Change: -$775,000"
79,"Jul. 29, 2021","New York Rangers Acquire:Ryan Reaves · $1,750,000$1,750,000$2,125,000Sum: $1,750,000$1,750,000$2,125,000Change: +$1,750,000Change: +$1,750,000Change: +$2,125,000","Vegas Golden Knights Acquire:2022 3rd round pick (NYR - #95 - Nicholas Moldenhauer)Sum: $0$0$0Change: -$1,750,000Change: -$1,750,000Change: -$2,125,000",New York Rangers ,"Ryan Reaves · $1,750,000$1,750,000$2,125,000Sum: $1,750,000$1,750,000$2,125,000Change: +$1,750,000Change: +$1,750,000Change: +$2,125,000",Vegas Golden Knights ,"2022 3rd round pick (NYR - #95 - Nicholas Moldenhauer)Sum: $0$0$0Change: -$1,750,000Change: -$1,750,000Change: -$2,125,000"
80,"Jul. 28, 2021","Arizona Coyotes Acquire:Conor Timmins · $0$0$0 (AHL/JR) (Signing Rights)2022 1st round pick (COL - #32 - Reid Schaefer) [Conditional]*2024 3rd round pick (COL - #89) [Conditional]***Conditions: If the Avalanche pick is top 10 in 2022, the Coyotes will receive Colorado's 2023 1st round pick instead. Result: Arizona will receive Colorado's 2022 1st round pick.**Conditions: Arizona receives the 2024 3rd round pick if Colorado wins the Stanley Cup in 2021-22 and Kuemper plays in 50% of the playoff games. Result: Colorado won the 2022 Stanley Cup and Kuemper played more than 50% of Colorado's playoff games. Arizona receives the 2024 3rd round pick.Sum: $0$0$0Change: -$3,500,000Change: -$3,500,000Change: +$116,722,222","Colorado Avalanche Acquire:Darcy Kuemper ($1,000,000 retained - 22.2%) · $3,500,000$3,500,000$0Sum: $3,500,000$3,500,000$0Change: +$3,500,000Change: +$3,500,000Change: -$116,722,222",Arizona Coyotes ,"Conor Timmins · $0$0$0 (AHL/JR) (Signing Rights)2022 1st round pick (COL - #32 - Reid Schaefer) [Conditional]*2024 3rd round pick (COL - #89) [Conditional]***Conditions: If the Avalanche pick is top 10 in 2022, the Coyotes will receive Colorado's 2023 1st round pick instead. Result: Arizona will receive Colorado's 2022 1st round pick.**Conditions: Arizona receives the 2024 3rd round pick if Colorado wins the Stanley Cup in 2021-22 and Kuemper plays in 50% of the playoff games. Result: Colorado won the 2022 Stanley Cup and Kuemper played more than 50% of Colorado's playoff games. Arizona receives the 2024 3rd round pick.Sum: $0$0$0Change: -$3,500,000Change: -$3,500,000Change: +$116,722,222",Colorado Avalanche ,"Darcy Kuemper ($1,000,000 retained - 22.2%) · $3,500,000$3,500,000$0Sum: $3,500,000$3,500,000$0Change: +$3,500,000Change: +$3,500,000Change: -$116,722,222"
81,"Jul. 28, 2021","Washington Capitals Acquire:Vitek Vanecek · $716,667$716,667$750,000Sum: $716,667$716,667$750,000Change: +$716,667Change: +$716,667Change: +$750,000","Seattle Kraken Acquire:2023 2nd round pick (WPG - #50 - Carson Rehkopf)Sum: $0$0$0Change: -$716,667Change: -$716,667Change: -$750,000",Washington Capitals ,"Vitek Vanecek · $716,667$716,667$750,000Sum: $716,667$716,667$750,000Change: +$716,667Change: +$716,667Change: +$750,000",Seattle Kraken ,"2023 2nd round pick (WPG - #50 - Carson Rehkopf)Sum: $0$0$0Change: -$716,667Change: -$716,667Change: -$750,000"
82,"Jul. 28, 2021","Boston Bruins Acquire:2022 3rd round pick (CGY - #91 - Ben MacDonald)Sum: $0$0$0Change: $0Change: -$750,000Change: -$200,000","Calgary Flames Acquire:Daniel Vladar · $0$750,000$200,000 (AHL/JR)Sum: $0$750,000$200,000Change: $0Change: +$750,000Change: +$200,000",Boston Bruins ,"2022 3rd round pick (CGY - #91 - Ben MacDonald)Sum: $0$0$0Change: $0Change: -$750,000Change: -$200,000",Calgary Flames ,"Daniel Vladar · $0$750,000$200,000 (AHL/JR)Sum: $0$750,000$200,000Change: $0Change: +$750,000Change: +$200,000"
83,"Jul. 28, 2021","Buffalo Sabres Acquire:Will Butcher ($910,569 retained - 24.4%) · $2,822,764$2,822,764$3,100,0002022 5th round pick (NJD - #134 - Vsevolod Komarov)Sum: $2,822,764$2,822,764$3,100,000Change: +$2,822,764Change: +$2,822,764Change: +$3,100,000","New Jersey Devils Acquire:Future ConsiderationsSum: $0$0$0Change: -$2,822,764Change: -$2,822,764Change: -$3,100,000",Buffalo Sabres ,"Will Butcher ($910,569 retained - 24.4%) · $2,822,764$2,822,764$3,100,0002022 5th round pick (NJD - #134 - Vsevolod Komarov)Sum: $2,822,764$2,822,764$3,100,000Change: +$2,822,764Change: +$2,822,764Change: +$3,100,000",New Jersey Devils ,"Future ConsiderationsSum: $0$0$0Change: -$2,822,764Change: -$2,822,764Change: -$3,100,000"
84,"Jul. 28, 2021",Arizona Coyotes Acquire:2024 4th round pick (SJS - #98)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks Acquire:Lane Pederson · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Arizona Coyotes ,2024 4th round pick (SJS - #98)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks ,Lane Pederson · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0
