,DATE,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS,TRADE DETAILS
,DATE,TRADE DETAILS,TRADE DETAILS.1,TRADE DETAILS.2,TRADE DETAILS.3,TRADE DETAILS.4,TRADE DETAILS.5,TRADE DETAILS.6,TRADE DETAILS.7,TRADE DETAILS.8,TRADE DETAILS.9,TRADE DETAILS.10,TRADE DETAILS.11,TRADE DETAILS.12,TRADE DETAILS.13,TRADE DETAILS.14,TRADE DETAILS.15,TRADE DETAILS.16,TRADE DETAILS.17,TRADE DETAILS.18,TRADE DETAILS.19,TRADE DETAILS.20,TRADE DETAILS.21,TRADE DETAILS.22,TRADE DETAILS.23,TRADE DETAILS.24,TRADE DETAILS.25,TRADE DETAILS.26,TRADE DETAILS.27,TRADE DETAILS.28,TRADE DETAILS.29,TRADE DETAILS.30,TRADE DETAILS.31,TRADE DETAILS.32,TRADE DETAILS.33
0,"May 24, 2024",Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,,,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0
1,"May 21, 2024","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000",,,"Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000"
2,"Mar. 15, 2024","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000",,,"Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000"
3,"Mar. 15, 2024","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000",,,"Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000"
4,"Mar. 11, 2024","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000",,,"New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000"
