,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,Sum_x,Change_x,receivedx,Team_y,Sum_y,Change_y,receivedy,CapHelpTeam,CHP_Recieved,CHP_Sum,CHP_Change
0,"May. 24, 2024",Chicago Blackhawks Acquire:2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks ,$0.00 ,$0.00 ,2024 1st round pick (NYI - #18)2024 2nd round pick (NYI - #50),New York Islanders ,$0.00 ,$0.00 ,2024 1st round pick (TBL - #20)2024 2nd round pick (LAK - #54)2024 2nd round pick (VAN - #61),,,,
1,"May.21, 2024","Nashville Predators Acquire:2024 7th round pick (TBL - #213)2025 2nd round pick (TBL)Sum: $0$0$0Change: -$6,750,000Change: -$6,750,000Change: -$6,930,000","Tampa Bay Lightning Acquire:Ryan McDonagh · $6,750,000$6,750,000$6,930,0002024 4th round pick (EDM - #128)Sum: $6,750,000$6,750,000$6,930,000Change: +$6,750,000Change: +$6,750,000Change: +$6,930,000",Nashville Predators ,$0.00 ,"($6,750,000.00)",2024 7th round pick (TBL - #213)2025 2nd round pick (TBL),Tampa Bay Lightning ,"$6,750,000.00 ","$6,750,000.00 ",Ryan McDonagh 2024 4th round pick (EDM - #128),,,,
2,"Mar. 15, 2024","Ottawa Senators Acquire:Wyatt Bongiovanni · $0$802,500$70,000 (AHL/JR)Sum: $0$802,500$70,000Change: $0Change: +$802,500Change: +$70,000","Winnipeg Jets Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$802,500Change: -$70,000",Ottawa Senators ,$0.00 ,$0.00 ,Wyatt Bongiovanni,Winnipeg Jets ,$0.00 ,$0.00 ,Future Considerations,,,,
3,"Mar. 15, 2024","Carolina Hurricanes Acquire:2024 6th round pick (OTT - #168)Sum: $0$0$0Change: $0Change: -$839,167Change: -$70,000","Ottawa Senators Acquire:Jamieson Rees · $0$839,167$70,000 (AHL/JR)Sum: $0$839,167$70,000Change: $0Change: +$839,167Change: +$70,000",Carolina Hurricanes ,$0.00 ,$0.00 ,2024 6th round pick (OTT - #168),Ottawa Senators ,$0.00 ,$0.00 ,Jamieson Rees,,,,
4,"Mar. 11, 2024","Montreal Canadiens Acquire:Arnaud Durandeau · $0$762,500$100,000 (AHL/JR)Sum: $0$762,500$100,000Change: $0Change: -$26,667Change: +$30,000","New Jersey Devils Acquire:Nathan Légaré · $0$789,167$70,000 (AHL/JR)Sum: $0$789,167$70,000Change: $0Change: +$26,667Change: -$30,000",Montreal Canadiens ,$0.00 ,$0.00 ,Arnaud Durandeau,New Jersey Devils ,$0.00 ,$0.00 ,Nathan Legare,,,,
5,"Mar. 8, 2024","Minnesota Wild Acquire:Dmitry Ovchinnikov · $0$835,000$80,000 (AHL/JR)2026 4th round pick (TOR)Sum: $0$835,000$80,000Change: -$800,000Change: +$35,000Change: -$770,000","Toronto Maple Leafs Acquire:Connor Dewar 78 L4  · $800,000$800,000$850,000Sum: $800,000$800,000$850,000Change: +$800,000Change: -$35,000Change: +$770,000",Minnesota Wild ,$0.00 ,"($800,000.00)",Dmitry Ovchinnikov 2026 4th round pick (TOR),Toronto Maple Leafs ,"$800,000.00 ","$800,000.00 ",Connor Dewar ,,,,
6,"Mar. 8, 2024","New Jersey Devils Acquire:2026 4th round pick (WPG)Sum: $0$0$0Change: -$1,850,000Change: -$1,850,000Change: -$1,700,000","Winnipeg Jets Acquire:Colin Miller · $1,850,000$1,850,000$1,700,000Sum: $1,850,000$1,850,000$1,700,000Change: +$1,850,000Change: +$1,850,000Change: +$1,700,000",New Jersey Devils ,$0.00 ,"($1,850,000.00)",2026 4th round pick (WPG),Winnipeg Jets ,"$1,850,000.00 ","$1,850,000.00 ",Colin Miller,,,,
7,"Mar. 8, 2024","San Jose Sharks Acquire:David Edstrom A- L3  · $0$950,000$82,500 (AHL/JR)2025 1st round pick (VGK)Sum: $0$950,000$82,500Change: -$6,750,000Change: -$5,800,000Change: -$8,212,431","Vegas Golden Knights Acquire:Tomas Hertl 85 L2  ($1,387,500 retained - 17.1%) · $6,750,000$6,750,000$8,294,9312025 3rd round pick (SJS)2027 3rd round pick (SJS)Sum: $6,750,000$6,750,000$8,294,931Change: +$6,750,000Change: +$5,800,000Change: +$8,212,431",San Jose Sharks ,$0.00 ,"($6,750,000.00)",David Edstrom 2025 1st round pick (VGK),Vegas Golden Knights ,"$6,750,000.00 ","$6,750,000.00 ","Tomas Hertl  ($1,387,500 retained - 17.1%) 2025 3rd round pick (SJS) 2027 3rd round pick (SJS)",,,,
8,"Mar. 8, 2024","New Jersey Devils Acquire:Kaapo Kähkönen 82 1B  · $2,750,000$2,750,000$2,900,000Sum: $2,750,000$2,750,000$2,900,000Change: -$650,000Change: -$650,000Change: -$850,000","San Jose Sharks Acquire:Vitek Vanecek · $3,400,000$3,400,000$3,750,0002025 7th round pick (NJD)Sum: $3,400,000$3,400,000$3,750,000Change: +$650,000Change: +$650,000Change: +$850,000",New Jersey Devils ,"$2,750,000.00 ","($650,000.00)",Kaapo Kahkonen,San Jose Sharks ,"$3,400,000.00 ","$650,000.00 ",Vitek Vanecek 2025 7th round pick (NJD),,,,
9,"Mar. 8, 2024","Columbus Blue Jackets Acquire:2026 4th round pick (NYR) [Conditional]**Conditions: Upgrades to a 2026 3rd round pick if Rangers make it to the Stanley Cup Finals and Roslovic plays in 50% of the playoff games. Result: Columbus will receive the 2026 4th round pickSum: $0$0$0Change: -$2,000,000Change: -$2,000,000Change: -$2,000,000","New York Rangers Acquire:Jack Roslovic 78 L3  ($2,000,000 retained - 50%) · $2,000,000$2,000,000$2,000,000Sum: $2,000,000$2,000,000$2,000,000Change: +$2,000,000Change: +$2,000,000Change: +$2,000,000",Columbus Blue Jackets ,$0.00 ,"($2,000,000.00)",2026 4th round pick (NYR) [Conditional]**Conditions: Upgrades to a 2026 3rd round pick if Rangers make it to the Stanley Cup Finals and Roslovic plays in 50% of the playoff games. Result: Columbus will receive the 2026 4th round pick,New York Rangers ,"$2,000,000.00 ","$2,000,000.00 ","Jack Roslovic  ($2,000,000 retained - 50%)",,,,
