"Goalies (4 - $8,925,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Husso, Ville",1 UFA,M-NTC,G,NHL,Trade,29,5.4,"$4,750,000 ",UFA,,,,
"Talbot, Cam",2 UFA,35+,G,NHL,Signed,36,2.8,"$2,500,000 ","$2,500,000 ",UFA,,,
"Lyon, Alex",1 UFA,,G,NHL,Signed,31,1,"$900,000 ",UFA,,,,
"Campbell, Jack",1 UFA,,G,NHL,Signed,32,0.9,"$775,000 ",UFA,,,,
TOTAL,,,,,,32,10.1,"$8,925,000 ","$2,500,000 ",,,,
