Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Cossa, Sebastian",2 RFA,ELC,G,Minor,Draft,21,-,"$863,333 ","$863,333 ",RFA,,,
"Gylander, Carter",2 RFA,ELC,G,Minor,Draft,23,-,"$855,000 ","$855,000 ",RFA,,,
"Alexander, Gage",1 RFA,ELC,G,Minor,Trade,22,-,"$810,000 ",RFA,,,,
TOTAL,,,,,,22,-,"$2,528,333 ","$1,718,333 ",,,,
