Defense (8),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Sandin Pellikka, Axel",3 RFA,ELC,RD,Minor,Draft,19,-,"$950,000 ","$950,000 ","$950,000 ",RFA,,
"Buium, Shai",3 RFA,ELC,LD,Minor,Draft,21,-,"$925,000 ","$925,000 ","$925,000 ",RFA,,
"Wallinder, William",2 RFA,ELC,LD,Minor,Draft,21,-,"$925,000 ","$925,000 ",RFA,,,
"Edvinsson, Simon",2 RFA,ELC,LD,Minor,Draft,21,-,"$894,167 ","$894,167 ",RFA,,,
"Tuomisto, Antti",1 RFA,ELC,RD,Minor,Draft,23,-,"$867,500 ",RFA,,,,
"Viro, Eemil",1 RFA,ELC,LD,Minor,Draft,22,-,"$828,333 ",RFA,,,,
"Rafferty, Brogan",1 UFA,,RD,Minor,Signed,29,-,"$775,000 ",UFA,,,,
"Johansson, Albert",1 RFA,,LD,Minor,Draft,23,-,"$775,000 ",RFA,,,,
TOTAL,,,,,,22.4,-,"$6,940,000 ","$3,694,167 ","$1,875,000 ",,,
