"Defense (6 - $16,268,750)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Chiarot, Ben",2 UFA,M-NTC,LD/RD,NHL,Signed,33,5.4,"$4,750,000 ","$4,750,000 ",UFA,,,
"Holl, Justin",2 UFA,M-NTC,RD,NHL,Signed,32,3.9,"$3,400,000 ","$3,400,000 ",UFA,,,
"Maatta, Olli",1 UFA,,LD,NHL,Signed,29,3.4,"$3,000,000 ",UFA,,,,
"Petry, Jeff",1 UFA,"RSM-NTC, NMC",RD,NHL,Trade,36,2.7,"$2,343,750 ",UFA,,,,
"Gustafsson, Erik",2 UFA,,LD,NHL,Signed,32,2.3,"$2,000,000 ","$2,000,000 ",UFA,,,
"Lagesson, William",1 UFA,,LD/RD,NHL,Signed,28,0.9,"$775,000 ",UFA,,,,
"Seider, Moritz",0 RFA,,RD,NHL,Draft,23,,RFA,,,,,
TOTAL,,,,,,30.4,18.5,"$16,268,750 ","$10,150,000 ",,,,
