"Defense (5 - $13,850,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Sanheim, Travis",7 UFA,NTC,LD/RD,NHL,Draft,28,7.1,"$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 "
"Seeler, Nick",4 UFA,NTC,LD/RD,NHL,Signed,31,3.1,"$2,700,000 ","$2,700,000 ","$2,700,000 ","$2,700,000 ",UFA,
"Drysdale, Jamie",2 RFA,,RD,NHL,Trade,22,2.6,"$2,300,000 ","$2,300,000 ",RFA,,,
"York, Cam",1 RFA,,LD/RD,NHL,Draft,23,1.8,"$1,600,000 ",RFA,,,,
"Johnson, Erik",1 UFA,35+,RD,NHL,Signed,36,1.1,"$1,000,000 ",UFA,,,,
"Zamula, Yegor",0 RFA,,LD/RD,NHL,Signed,24,,RFA,,,,,
TOTAL,,,,,,27.3,15.7,"$13,850,000 ","$11,250,000 ","$8,950,000 ","$8,950,000 ","$6,250,000 ","$6,250,000 "
