,Non-Roster (0),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Hart, Carter",0 RFA,,G,NHL Non-Roster,Draft,25.0,,RFA,,,,,
1,TOTAL,,,,,,25.0,0.0,,,,,,
