Retained Salary (1),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Hayes, Kevin","$3,571,428 ","$3,571,428 ",,,,
TOTAL,"$3,571,428 ","$3,571,428 ",,,,
