"Goalies (2 - $4,725,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Fedotov, Ivan",2 UFA,,G,NHL,Draft,27,3.7,"$3,275,000 ","$3,275,000 ",UFA,,,
"Ersson, Samuel",2 RFA,,G,NHL,Draft,24,1.6,"$1,450,000 ","$1,450,000 ",RFA,,,
TOTAL,,,,,,25.5,5.4,"$4,725,000 ","$4,725,000 ",,,,
