"Long-Term Injured Reserve (1 - $6,250,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Ellis, Ryan",3 UFA,,RD,LTIR Candidate,Trade,33,7.1,"$6,250,000 ","$6,250,000 ","$6,250,000 ",UFA,,
TOTAL,,,,,,33,7.1,"$6,250,000 ","$6,250,000 ","$6,250,000 ",,,
