Buyout History (3),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Atkinson, Cam","$2,358,333 ","$1,758,333 ",,,,
"Deangelo, Anthony","$1,666,667 ",,,,,
"Bryzgalov, Ilya",$0 ,$0 ,$0 ,,,
TOTAL,"$4,025,000 ","$1,758,333 ",$0 ,,,
