Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Petersen, Cal",1 UFA,M-NTC,G,Minor,Trade,29,-,"$5,000,000 ",UFA,,,,
"Kolosov, Aleksei",2 RFA,ELC,G,Minor,Draft,22,-,"$925,000 ","$925,000 ",RFA,,,
"Bjarnason, Carson",3 RFA,ELC,G,Junior,Draft,19,-,"$881,667 ","$881,667 ","$881,667 ",RFA,,
TOTAL,,,,,,23.3,-,"$6,806,667 ","$1,806,667 ","$881,667 ",,,
