"Defense (4 - $16,400,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Vlasic, Marc-Edouard",2 UFA,M-NTC,LD/RD,NHL,Draft,37,8,"$7,000,000 ","$7,000,000 ",UFA,,,
"Walman, Jake",2 UFA,M-NTC,LD,NHL,Trade,28,3.9,"$3,400,000 ","$3,400,000 ",UFA,,,
"Ferraro, Mario",2 UFA,,LD,NHL,Draft,25,3.7,"$3,250,000 ","$3,250,000 ",UFA,,,
"Rutta, Jan",1 UFA,,LD/RD,NHL,Trade,33,3.1,"$2,750,000 ",UFA,,,,
"Thrun, Henry",0 10.2(c),,LD,NHL,Trade,23,,10.2(c),,,,,
TOTAL,,,,,,29.2,18.6,"$16,400,000 ","$13,650,000 ",,,,
