Buyout History (2),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Jones, Martin","$1,666,667 ","$1,666,667 ","$1,666,667 ",,,
"Knyzhov, Nikolai","$316,667 ","$466,667 ",,,,
TOTAL,"$1,983,334 ","$2,133,334 ","$1,666,667 ",,,
