Goalies (2),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Romanov, Georgi",1 RFA,ELC,G,Minor,Signed,24,-,"$910,000 ",RFA,,,,
"Chrona, Magnus",1 RFA,ELC,G,Minor,Trade,23,-,"$867,500 ",RFA,,,,
TOTAL,,,,,,23.5,-,"$1,777,500 ",,,,,
