,#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
496,497,"Soucy, Carson",LD/RD,27,Stnd,UFA,"$2,750,000 ",64,97,10,11,21,17:39,"$28,350 ","$275,000 ","$250,000 ","$130,952 ","$2,434 "
497,498,"Ekblad, Aaron",RD,25,Stnd,UFA,"$7,500,000 ",61,180,15,42,57,24:55:00,"$41,666 ","$500,000 ","$178,571 ","$131,578 ","$4,934 "
498,499,"Smith, Reilly","LW, RW",30,Stnd,UFA,"$5,000,000 ",56,150,16,22,38,17:47,"$33,333 ","$312,500 ","$227,272 ","$131,578 ","$5,020 "
499,500,"Jokiharju, Henri",RD,22,Stnd,RFA,"$2,500,000 ",60,83,3,16,19,21:52,"$30,120 ","$833,333 ","$156,250 ","$131,578 ","$1,905 "
500,501,"Mittelstadt, Casey","LW, C",23,Stnd,RFA,"$2,500,000 ",40,79,6,13,19,16:07,"$31,645 ","$416,666 ","$192,307 ","$131,578 ","$3,877 "
501,502,"Voracek, Jakub","RW, LW",32,Stnd,UFA,"$8,250,000 ",79,147,6,56,62,17:27,"$56,122 ","$1,375,000 ","$147,321 ","$133,064 ","$5,984 "
502,503,"Okposo, Kyle",RW,33,Stnd,UFA,"$6,000,000 ",74,174,21,24,45,16:46,"$34,482 ","$285,714 ","$250,000 ","$133,333 ","$4,835 "
503,504,"Laine, Patrik","C, RW, LW",23,Stnd,RFA,"$7,500,000 ",56,167,26,30,56,18:49,"$44,910 ","$288,461 ","$250,000 ","$133,928 ","$7,117 "
504,505,"Røndbjerg, Jonas","LW, RW",22,ELC,RFA,"$806,667 ",30,30,2,4,6,10:00,"$26,888 ","$403,333 ","$201,666 ","$134,444 ","$2,688 "
505,506,"Reaves, Ryan",RW,34,Stnd,UFA,"$1,750,000 ",69,44,5,8,13,10:38,"$39,772 ","$350,000 ","$218,750 ","$134,615 ","$2,385 "
506,507,"Skjei, Brady",LD,27,Stnd,UFA,"$5,250,000 ",82,184,9,30,39,21:08,"$28,532 ","$583,333 ","$175,000 ","$134,615 ","$3,029 "
507,508,"Chiarot, Ben",LD/RD,30,Stnd,UFA,"$3,500,000 ",74,143,9,17,26,22:51,"$24,475 ","$388,888 ","$205,882 ","$134,615 ","$2,069 "
508,509,"Dvorak, Christian",C,25,Stnd,UFA,"$4,450,000 ",56,87,11,22,33,17:22,"$51,149 ","$404,545 ","$202,272 ","$134,848 ","$4,575 "
509,510,"Steen, Oskar","C, RW",23,ELC,RFA,"$809,167 ",20,25,2,4,6,11:04,"$32,366 ","$404,583 ","$202,291 ","$134,861 ","$3,655 "
510,511,"Domi, Max","C, RW",26,Stnd,UFA,"$5,300,000 ",72,104,11,28,39,13:02,"$50,961 ","$481,818 ","$189,285 ","$135,897 ","$5,647 "
511,512,"Backlund, Mikael",C,32,Stnd,UFA,"$5,350,000 ",82,214,12,27,39,17:07,"$25,000 ","$445,833 ","$198,148 ","$137,179 ","$3,811 "
512,513,"Dzingel, Ryan","LW, RW, C",29,Stnd,UFA,"$1,100,000 ",32,32,5,3,8,13:42,"$34,375 ","$220,000 ","$366,666 ","$137,500 ","$2,509 "
513,514,"Rowney, Carter","C, RW",32,Stnd,UFA,"$825,000 ",26,15,4,2,6,10:40,"$55,000 ","$206,250 ","$412,500 ","$137,500 ","$2,974 "
514,515,"Wheeler, Blake",RW,35,Stnd,UFA,"$8,250,000 ",65,167,17,43,60,19:32,"$49,401 ","$485,294 ","$191,860 ","$137,500 ","$6,497 "
515,516,"Dewar, Connor","LW, C",22,ELC,RFA,"$825,833 ",35,44,2,4,6,9:53,"$18,768 ","$412,916 ","$206,458 ","$137,638 ","$2,387 "
516,517,"Kucherov, Nikita",RW,28,Stnd,UFA,"$9,500,000 ",47,156,25,44,69,19:58,"$60,897 ","$380,000 ","$215,909 ","$137,681 ","$10,123 "
517,518,"Faulk, Justin",RD,29,Stnd,UFA,"$6,500,000 ",76,167,16,31,47,23:11,"$38,922 ","$406,250 ","$209,677 ","$138,297 ","$3,689 "
518,519,"Henrique, Adam","LW, C",31,Stnd,UFA,"$5,825,000 ",58,141,19,23,42,17:25,"$41,312 ","$306,578 ","$253,260 ","$138,690 ","$5,766 "
519,520,"Russell, Kris",LD/RD,34,Stnd,UFA,"$1,250,000 ",31,34,2,7,9,15:26,"$36,764 ","$625,000 ","$178,571 ","$138,888 ","$2,612 "
520,521,"McNabb, Brayden",LD,30,Stnd,UFA,"$2,500,000 ",69,85,3,15,18,19:42,"$29,411 ","$833,333 ","$166,666 ","$138,888 ","$1,839 "
