"Defense (7 - $19,325,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Ekblad, Aaron ""A""",1 UFA,M-NTC,RD,NHL,Draft,28,8.5,"$7,500,000 ",UFA,,,,
"Forsling, Gustav",8 UFA,NMC,LD,NHL,Waivers claim,28,6.5,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 "
"Mikkola, Niko",2 UFA,,LD,NHL,Signed,28,2.8,"$2,500,000 ","$2,500,000 ",UFA,,,
"Kulikov, Dmitry",4 UFA,,LD/RD,NHL,Signed,33,1.3,"$1,150,000 ","$1,150,000 ","$1,150,000 ","$1,150,000 ",UFA,
"Balinskis, Uvis",2 UFA,,LD,NHL,Signed,27,1,"$850,000 ","$850,000 ",UFA,,,
"Schmidt, Nate",1 UFA,,LD/RD,NHL,Signed,32,0.9,"$800,000 ",UFA,,,,
"Bjornfot, Tobias",1 RFA,,LD,NHL,Waivers claim,23,0.9,"$775,000 ",RFA,,,,
TOTAL,,,,,,28.4,22,"$19,325,000 ","$10,250,000 ","$6,900,000 ","$6,900,000 ","$5,750,000 ","$5,750,000 "
