Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Black, Cooper",2 RFA,ELC,G,Minor,Signed,23,-,"$950,000 ","$950,000 ",RFA,,,
"Driedger, Chris",1 UFA,,G,Minor,Signed,30,-,"$795,000 ",UFA,,,,
"Guzda, Mack",0 10.2(c),,G,Minor,Signed,23,-,10.2(c),,,,,
TOTAL,,,,,,25.3,-,"$1,745,000 ","$950,000 ",,,,
