Defense (7),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Hovorka, Mikulas",2 RFA,ELC,RD,Minor,Signed,23,-,"$950,000 ","$950,000 ",RFA,,,
"Benning, Michael",1 10.2(c),ELC,RD,Minor,Draft,22,-,"$916,667 ",10.2(c),,,,
"Alscher, Marek",3 RFA,ELC,LD,Junior,Draft,20,-,"$865,000 ","$865,000 ","$865,000 ",RFA,,
"Nause, Evan",2 RFA,ELC,LD,Minor,Draft,21,-,"$864,167 ","$864,167 ",RFA,,,
"Staios, Nathan",1 RFA,ELC,LD,Minor,Signed,23,-,"$859,167 ",RFA,,,,
"Uens, Zach",1 RFA,ELC,LD,Minor,Draft,23,-,"$859,167 ",RFA,,,,
"Kiersted, Matt",1 UFA,,LD,Minor,Signed,26,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,22.6,-,"$6,089,168 ","$2,679,167 ","$865,000 ",,,
