"Goalies (2 - $14,500,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Bobrovsky, Sergei",2 UFA,"M-NTC, NMC",G,NHL,Signed,35,11.4,"$10,000,000 ","$10,000,000 ",UFA,,,
"Knight, Spencer",2 RFA,,G,NHL,Draft,23,5.1,"$4,500,000 ","$4,500,000 ",RFA,,,
TOTAL,,,,,,29,16.5,"$14,500,000 ","$14,500,000 ",,,,
