Defense (5),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Casey, Seamus",3 RFA,ELC,RD,Minor,Draft,20,-,"$950,000 ","$950,000 ","$950,000 ",RFA,,
"Diotte, Mikael",3 RFA,ELC,RD,Junior,Signed,21,-,"$950,000 ","$950,000 ","$950,000 ",RFA,,
"Misyul, Daniil",1 RFA,ELC,LD,Minor,Draft,23,-,"$867,500 ",RFA,,,,
"Vilen, Topias",2 RFA,ELC,LD,Minor,Draft,21,-,"$836,667 ","$836,667 ",RFA,,,
"White, Colton",2 UFA,,LD,Minor,Signed,27,-,"$775,000 ","$775,000 ",UFA,,,
"Hatakka, Santeri",0 RFA,,LD,Minor,Trade,23,-,RFA,,,,,
TOTAL,,,,,,22.5,-,"$4,379,167 ","$3,511,667 ","$1,900,000 ",,,
