"Goalies (2 - $6,050,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Markstrom, Jacob",2 UFA,RSNMC,G,NHL,Trade,34,4.7,"$4,125,000 ","$4,125,000 ",UFA,,,
"Allen, Jake",1 UFA,RSM-NTC,G,NHL,Trade,33,2.2,"$1,925,000 ",UFA,,,,
TOTAL,,,,,,33.5,6.9,"$6,050,000 ","$4,125,000 ",,,,
