"Defense (8 - $17,435,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Pesce, Brett",6 UFA,,RD,NHL,Signed,29,6.3,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 "
"Dillon, Brenden",3 UFA,,LD,NHL,Signed,33,4.5,"$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,,
"Siegenthaler, Jonas",4 UFA,M-NTC,LD,NHL,Trade,27,3.9,"$3,400,000 ","$3,400,000 ","$3,400,000 ","$3,400,000 ",UFA,
"MacDermid, Kurtis",3 UFA,,"LD/RD, LW",NHL,Trade,30,1.3,"$1,150,000 ","$1,150,000 ","$1,150,000 ",UFA,,
"Hughes, Luke",1 RFA,ELC,LD/RD,NHL,Draft,20,1.1,"$925,000 ",RFA,,,,
"Nemec, Simon",2 RFA,ELC,RD,NHL,Draft,20,1,"$918,333 ","$918,333 ",RFA,,,
"DeSimone, Nick",1 UFA,,RD,NHL,Waivers claim,29,0.9,"$775,000 ",UFA,,,,
"Kovacevic, Johnathan",1 UFA,,RD,NHL,Trade,26,0.9,"$766,667 ",UFA,,,,
TOTAL,,,,,,26.8,19.8,"$17,435,000 ","$14,968,333 ","$14,050,000 ","$8,900,000 ","$5,500,000 ","$5,500,000 "
