Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Brennan, Tyler",2 RFA,ELC,G,Minor,Draft,20,-,"$870,000 ","$870,000 ",RFA,,,
"Malek, Jakub",2 RFA,ELC,G,Minor,Draft,22,-,"$867,500 ","$867,500 ",RFA,,,
"Poulter, Isaac",1 RFA,ELC,G,Minor,Signed,22,-,"$812,500 ",RFA,,,,
"Daws, Nico",0 RFA,,G,Minor,Draft,23,-,RFA,,,,,
TOTAL,,,,,,21.8,-,"$2,550,000 ","$1,737,500 ",,,,
