"Goalies (2 - $1,866,667)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Lindgren, Charlie",1 UFA,,G,NHL,Signed,30,1.3,"$1,100,000 ",UFA,,,,
"Thompson, Logan",1 UFA,,G,NHL,Trade,27,0.9,"$766,667 ",UFA,,,,
TOTAL,,,,,,28.5,2.1,"$1,866,667 ",,,,,
