Goalies (4),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Bjorklund, Garin",1 RFA,ELC,G,Minor,Draft,22,-,"$843,333 ",RFA,,,,
"Shepard, Hunter",1 UFA,,G,Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Gibson, Mitchell",1 RFA,,G,Minor,Draft,25,-,"$775,000 ",RFA,,,,
"Stevenson, Clay",3 UFA,,G,Minor,Signed,25,-,"$775,000 ","$775,000 ","$775,000 ",UFA,,
TOTAL,,,,,,25,-,"$3,168,333 ","$775,000 ","$775,000 ",,,
