Defense (4),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Iorio, Vincent",2 RFA,ELC,RD,Minor,Draft,21,-,"$814,167 ","$814,167 ",RFA,,,
"McIlrath, Dylan",1 UFA,,RD,Minor,Signed,32,-,"$775,000 ",UFA,,,,
"Haman Aktell, Hardy",1 RFA,,LD,Minor,Signed,25,-,"$775,000 ",RFA,,,,
"Priskie, Chase",1 UFA,,RD,Minor,Signed,28,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,26.5,-,"$3,139,167 ","$814,167 ",,,,
