"Long-Term Injured Reserve (1 - $9,200,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Backstrom, Nicklas ""A""",1 UFA,M-NTC,C,LTIR Candidate,Draft,36,10.5,"$9,200,000 ",UFA,,,,
TOTAL,,,,,,36,10.5,"$9,200,000 ",,,,,
