Defense (7),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Niemela, Topi",1 RFA,ELC,RD,Minor,Draft,22,-,"$856,667 ",RFA,,,,
"Kokkonen, Mikko",1 RFA,ELC,LD,Minor,Draft,23,-,"$846,667 ",RFA,,,,
"Chadwick, Noah",3 RFA,ELC,LD,Minor,Draft,19,-,"$826,111 ","$826,111 ","$826,111 ",RFA,,
"Villeneuve, William",1 RFA,ELC,RD,Minor,Draft,22,-,"$817,778 ",RFA,,,,
"Mattinen, Nicolas",1 UFA,,D,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Rifai, Marshall",1 UFA,,LD,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Myers, Philippe",1 UFA,,RD,Minor,Signed,27,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,23.6,-,"$5,672,223 ","$826,111 ","$826,111 ",,,
