"Goalies (3 - $4,141,667)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Stolarz, Anthony",2 UFA,,G,NHL,Signed,30,2.8,"$2,500,000 ","$2,500,000 ",UFA,,,
"Murray, Matt",1 UFA,,G,NHL,Signed,30,1,"$875,000 ",UFA,,,,
"Woll, Joseph",4 UFA,,G,NHL,Draft,25,0.9,"$766,667 ","$3,666,667 ","$3,666,667 ","$3,666,667 ",UFA,
TOTAL,,,,,,28.3,4.7,"$4,141,667 ","$6,166,667 ","$3,666,667 ","$3,666,667 ",,
