Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Akhtiamov, Artur",2 RFA,ELC,G,Loan,Draft,22,-,"$851,667 ","$851,667 ",RFA,,,
"Peksa, Vyacheslav",2 RFA,ELC,G,Minor,Draft,21,-,"$851,667 ","$851,667 ",RFA,,,
"Hildeby, Dennis",1 RFA,ELC,G,Minor,Draft,22,-,"$843,333 ",RFA,,,,
TOTAL,,,,,,21.7,-,"$2,546,667 ","$1,703,334 ",,,,
